DOCUMENTOFISCAL|DOCUMENTODEPAGAMENTO|VALOR_JUROS_NF
415274|144853|0,00
415275|144514|0,00
415276|144514|0,00
415277|144514|0,00
415278|144514|0,00
415279|144920|0,00
415280|144920|0,00
415281|144572|0,00
415282|144720|0,00
415283|144853|0,00
415284|144777|0,00
415285|144912|0,00
415286|144920|0,00
415287|144920|0,00
415288|144920|0,00
415289|144720|0,00
415290|144920|0,00
415291|144720|0,00
415292|144853|0,00
415293|144920|0,00
415294|144912|0,00
415295|144920|0,00
415296|144920|0,00
415298|144912|0,00
415299|144920|0,00
415300|144920|0,00
415301|144667|0,00
415302|144920|0,00
415303|144920|0,00
415304|144920|0,00
415305|146335|1,16
415306|144920|0,00
415307|144629|0,00
415308|144853|0,00
415309|144853|0,00
415310|144514|0,00
415311|144920|0,00
415312|144912|0,00
415313|144920|0,00
415314|144912|0,00
415315|144912|0,00
415316|144777|0,00
415317|144853|0,00
415318|144920|0,00
415319|145100|0,77
415320|144920|0,00
415321|144920|0,00
415322|144920|0,00
415323|144912|0,00
415324|144920|0,00
415325|144720|0,00
415326|144920|0,00
415327|144920|0,00
415328|144720|0,00
415329|144853|0,00
415330|144920|0,00
415331|144920|0,00
415332|144720|0,00
415333|144777|0,00
415334|144920|0,00
415335|144920|0,00
415336|144484|0,00
415337|144667|0,00
415338|144920|0,00
415339|144920|0,00
415340|144912|0,00
415341|144514|0,00
415342|144514|0,00
415343|144514|0,00
415344|144920|0,00
415345|144920|0,00
415346|144920|0,00
415347|144920|0,00
415348|144920|0,00
415349|144920|0,00
415350|144920|0,00
415351|144920|0,00
415352|144912|0,00
415353|144853|0,00
415354|144912|0,00
415355|144484|0,00
415356|144853|0,00
415357|144777|0,00
415358|144912|0,00
415359|144920|0,00
415360|144853|0,00
415361|144720|0,00
415362|144920|0,00
415363|144920|0,00
415364|144920|0,00
415365|144912|0,00
415367|144777|0,00
415368|144629|0,00
415369|144912|0,00
415370|144912|0,00
415371|145391|63,29
415372|144912|0,00
415373|144920|0,00
415374|144853|0,00
415375|144853|0,00
415376|144720|0,00
415377|144559|0,00
415378|144777|0,00
415379|144920|0,00
415380|144777|0,00
415381|144629|0,00
415382|144720|0,00
415383|144667|0,00
415384|144920|0,00
415385|145958|4,13
415386|144629|0,00
415387|144853|0,00
415388|144920|0,00
415389|144514|0,00
415390|144920|0,00
415391|144720|0,00
415392|144667|0,00
415393|144777|0,00
415394|144920|0,00
415395|144720|0,00
415396|144720|0,00
415397|144920|0,00
415398|144720|0,00
415399|144920|0,00
415400|144559|0,00
415401|144920|0,00
415402|144629|0,00
415403|144514|0,00
415404|144667|0,00
415405|144720|0,00
415406|144920|0,00
415407|144720|0,00
415408|144559|0,00
415409|144853|0,00
415410|144920|0,00
415411|144912|0,00
415412|152933|3,54
415413|144920|0,00
415414|144920|0,00
415415|144912|0,00
415416|144920|0,00
415417|144920|0,00
415418|144777|0,00
415419|144777|0,00
415420|144720|0,00
415421|144559|0,00
415422|144777|0,00
415423|144920|0,00
415424|144912|0,00
415425|144853|0,00
415426|144920|0,00
415427|144920|0,00
415428|144920|0,00
415429|144629|0,00
415431|144720|0,00
415432|144667|0,00
415433|144920|0,00
415434|144667|0,00
415435|144853|0,00
415436|144920|0,00
415437|144920|0,00
415438|144920|0,00
415440|144777|0,00
415441|144853|0,00
415442|144920|0,00
415443|144912|0,00
415444|144667|0,00
415445|144920|0,00
415446|146265|1,12
415447|144912|0,00
