ID|NIVEL1|NIVEL2|NIVEL3|NIVEL4|NIVEL5|TOTAL|ANOMES
27|Despesas operacionais|Pessoal|Despesas com assistencia social|Instrucao|Bolsa Estagio|         -40.836,69|202501
28|Despesas operacionais|Pessoal|Despesas com assistencia social|Treinamento|Cursos, Seminarios E Palestras|                  0|202501
29|Despesas operacionais|Pessoal|Despesas com assistencia social|Seguros|Seguro De Vida Em Grupo|         -42.276,80|202501
30|Despesas operacionais|Pessoal|Despesas com assistencia social|Alimentacao / Refeicao|Vale Alimentacao|        -188.808,84|202501
31|Despesas operacionais|Pessoal|Despesas com assistencia social|Alimentacao / Refeicao|Vale Refeicao|        -165.697,50|202501
32|Despesas operacionais|Pessoal|Despesas com assistencia social|Vale Transporte|Vale Transporte|         -13.253,69|202501
33|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Educacao|                  0|202501
34|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Doenca|                  0|202501
35|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Creche|          -9.106,32|202501
36|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Ambulatorio|                  0|202501
37|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Medicina Do Trabalho|          -2.489,47|202501
38|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Seguranca Do Trabalho|                  0|202501
39|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Baba|          -1.916,72|202501
40|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Programas Assistenciais|                  0|202501
41|Despesas operacionais|Pessoal|Despesas com assistencia social|Plano de Previdência Privada|Previdência Privada|         -85.525,87|202501
42|Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ Ferias|         -36.976,07|202501
43|Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ 13º Salario|         -46.291,55|202501
44|Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ Folha De Pagamento|        -433.686,91|202501
45|Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Ferias|         -11.643,19|202501
46|Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Rescisao|            -609,87|202501
47|Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Folha De Pagamento|        -135.197,04|202501
48|Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ 13º Salario|         -14.502,46|202501
49|Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ Folha De Pagamento|         -17.007,27|202501
50|Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ 13º Salario|          -1.815,42|202501
51|Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ Ferias|          -1.449,99|202501
52|Despesas operacionais|Serviços de terceiros|Honorários de consultoria|||      -1.094.703,51|202501
53|Despesas operacionais|Serviços de terceiros|Honorários advocatícios|||        -816.538,29|202501
54|Despesas operacionais|Serviços de terceiros|Honorários de auditoria|||                  0|202501
55|Despesas operacionais|Serviços de terceiros|Outros serviços de terceiros|||         -72.353,12|202501
56|Despesas operacionais|Serviços de terceiros|Serviços de informática|||      -1.513.972,83|202501
57|Despesas operacionais|Serviços de terceiros|Equipamentos|||        -154.946,78|202501
58|Despesas operacionais|Eventos|Eventos|||         -69.860,74|202501
59|Despesas operacionais|Eventos|Patrocínio de eventos|||                  0|202501
60|Despesas operacionais|Eventos|Outros eventos|||                  0|202501
61|Despesas operacionais|Localização|Serviços de limpeza|||         -24.900,00|202501
62|Despesas operacionais|Localização|Condomínio|||        -160.036,72|202501
63|Despesas operacionais|Localização|Conservação, manutenção e reparos|||          -3.320,70|202501
64|Despesas operacionais|Localização|Outras|||         -76.215,60|202501
65|Despesas operacionais|Localização|Energia elétrica|||         -49.927,08|202501
66|Despesas operacionais|Localização|Aluguel|||            -900,00|202501
67|Despesas operacionais|Localização|Depreciação e amortização|||        -332.356,93|202501
68|Despesas operacionais|Marketing|Comunicação institucional|||         -94.347,00|202501
69|Despesas operacionais|Marketing|Anúncios e editais|||                  0|202501
70|Despesas operacionais|Marketing|Propaganda e divulgação|||        -284.774,86|202501
71|Despesas operacionais|Representação institucional|Despesas De Viagens Em Congressos E Seminarios|||                  0|202501
72|Despesas operacionais|Representação institucional|Viagens|||           2.645,47|202501
73|Despesas operacionais|Representação institucional|Representação institucional|||                  0|202501
74|Despesas operacionais|Representação institucional|Representação Social|||         -12.039,10|202501
75|Despesas operacionais|Representação institucional|Representação Em Congressos E Seminarios|||                  0|202501
76|Despesas operacionais|Doações e contribuições|Anuidades a entidades de classe|||          -5.470,34|202501
77|Despesas operacionais|Doações e contribuições|Contribuicoes, mensalidades e anuidades |||         -14.509,41|202501
78|Despesas operacionais|Doações e contribuições|Doacoes|||         -20.000,00|202501
79|Despesas operacionais|Outras despesas|Material de expediente|||         -12.735,55|202501
80|Despesas operacionais|Outras despesas|Comunicação|||         -35.004,68|202501
81|Despesas operacionais|Outras despesas|Convênios|||                  0|202501
82|Despesas operacionais|Outras despesas|Veículos|||         -20.463,37|202501
83|Despesas operacionais|Outras despesas|Crédito COFINS|||          37.956,21|202501
84|Despesas operacionais|Outras despesas|Diversos|Impostos e taxas||          -2.723,32|202501
85|Despesas operacionais|Outras despesas|Diversos|Acordos judiciais||         -25.067,18|202501
86|Despesas operacionais|Outras despesas|Diversos|Baixas e cobranças||                  0|202501
87|Despesas operacionais|Outras despesas|Diversos|Provisão para crédito de liquidação duvidosa||         -56.186,95|202501
88|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Refeição|          -5.583,95|202501
89|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Assinaturas e M. Técnicos|          -6.335,00|202501
90|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Representação Social|                  0|202501
91|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Maq., mov, equip. e utensílios|          -4.326,74|202501
92|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Brindes|                  0|202501
93|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Uniformne|                  0|202501
94|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Livros, Jornais e Revistas|                  0|202501
95|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Logística|                  0|202501
96|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Outras desp administrativas|         -21.454,83|202501
97|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Despesas diversas de eventos|                  0|202501
98|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Bens de pequeno valor|         -13.926,40|202501
99|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Impressões / Material gráfico|                  0|202501
100|Resultado operacional|||||       2.241.665,79|202501
101|Resultado de equivalência patrimonial|||||                  0|202501
102|Resultado não operacional|||||                  0|202501
103|Receitas financeiras|||||       4.909.767,94|202501
104|Despesas financeiras|||||      -1.047.012,42|202501
105|Resultado financeiro|||||       3.862.755,52|202501
106|Superávit do exercício|||||       6.104.421,31|202501
1|Receita Bruta|||||      18.596.425,96|202502
2|Tributos|ISS||||        -929.822,08|202502
3|Tributos|COFINS||||      -1.413.328,74|202502
4|Receita operacional líquida|||||      16.253.275,14|202502
5|Custos dos serviços prestados|Consultas|Sistema de Contratos (Ex-Sircof)|||                  0|202502
6|Custos dos serviços prestados|Consultas|SISEG|||        -165.384,61|202502
7|Custos dos serviços prestados|Consultas|Sistema Nacional de Gravames - SNG|||      -5.011.807,36|202502
8|Custos dos serviços prestados|Outros custos||||                  0|202502
9|Margem bruta|||||      11.076.083,17|202502
10|Despesas operacionais|Pessoal|Despesa com empregados|Gratificacoes||          -8.068,48|202502
11|Despesas operacionais|Pessoal|Despesa com empregados|Horas Extras||         -59.055,19|202502
12|Despesas operacionais|Pessoal|Despesa com empregados|Salários||      -2.034.059,19|202502
13|Despesas operacionais|Pessoal|Despesa com empregados|Ferias||        -229.948,04|202502
14|Despesas operacionais|Pessoal|Despesa com empregados|Adicional Por Tempo De Servico||                  0|202502
15|Despesas operacionais|Pessoal|Despesa com empregados|Bonus||      -1.072.166,67|202502
16|Despesas operacionais|Pessoal|Despesa com empregados|Decimo - Terceiro Salario||        -185.007,26|202502
17|Despesas operacionais|Pessoal|Despesa com empregados|Pro Labore||                  0|202502
18|Despesas operacionais|Pessoal|Despesas com indenizacoes|Aviso Previo||          -6.118,47|202502
19|Despesas operacionais|Pessoal|Despesas com indenizacoes|Ferias Indenizadas||            -679,84|202502
20|Despesas operacionais|Pessoal|Despesas com indenizacoes|Multa Rescisao Fgts||         -19.464,50|202502
21|Despesas operacionais|Pessoal|Despesas com indenizacoes|Indenizacoes Trabalhistas||          -2.039,49|202502
22|Despesas operacionais|Pessoal|Despesas com indenizacoes|Multa Sobre Rescisao||                  0|202502
23|Despesas operacionais|Pessoal|Despesas com indenizacoes|13º Salario Proporcional (Indenizado)||            -509,87|202502
24|Despesas operacionais|Pessoal|Despesas com assistencia social|Assistencia Medica E Odontologica|Assistencia Odontologica|         -60.630,29|202502
25|Despesas operacionais|Pessoal|Despesas com assistencia social|Assistencia Medica E Odontologica|Assistencia Medica|        -402.368,45|202502
26|Despesas operacionais|Pessoal|Despesas com assistencia social|Instrucao|Ajuda Educacional|                  0|202502
27|Despesas operacionais|Pessoal|Despesas com assistencia social|Instrucao|Bolsa Estagio|         -40.599,10|202502
28|Despesas operacionais|Pessoal|Despesas com assistencia social|Treinamento|Cursos, Seminarios E Palestras|                  0|202502
29|Despesas operacionais|Pessoal|Despesas com assistencia social|Seguros|Seguro De Vida Em Grupo|         -42.190,01|202502
30|Despesas operacionais|Pessoal|Despesas com assistencia social|Alimentacao / Refeicao|Vale Alimentacao|        -189.413,62|202502
31|Despesas operacionais|Pessoal|Despesas com assistencia social|Alimentacao / Refeicao|Vale Refeicao|        -164.419,48|202502
32|Despesas operacionais|Pessoal|Despesas com assistencia social|Vale Transporte|Vale Transporte|         -11.649,08|202502
33|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Educacao|                  0|202502
34|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Doenca|                  0|202502
35|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Creche|          -9.106,32|202502
36|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Ambulatorio|                  0|202502
37|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Medicina Do Trabalho|          -2.623,27|202502
38|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Seguranca Do Trabalho|                  0|202502
39|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Baba|          -1.437,84|202502
40|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Programas Assistenciais|                  0|202502
41|Despesas operacionais|Pessoal|Despesas com assistencia social|Plano de Previdência Privada|Previdência Privada|         -85.525,87|202502
42|Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ Ferias|         -52.172,65|202502
43|Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ 13º Salario|         -47.306,80|202502
44|Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ Folha De Pagamento|        -809.195,06|202502
45|Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Ferias|         -16.348,45|202502
46|Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Rescisao|          -1.160,08|202502
47|Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Folha De Pagamento|        -252.960,07|202502
48|Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ 13º Salario|         -14.821,83|202502
49|Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ Folha De Pagamento|         -31.738,63|202502
50|Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ 13º Salario|          -1.849,92|202502
51|Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ Ferias|          -2.046,05|202502
52|Despesas operacionais|Serviços de terceiros|Honorários de consultoria|||      -2.294.883,39|202502
53|Despesas operacionais|Serviços de terceiros|Honorários advocatícios|||      -1.635.734,43|202502
54|Despesas operacionais|Serviços de terceiros|Honorários de auditoria|||                  0|202502
55|Despesas operacionais|Serviços de terceiros|Outros serviços de terceiros|||         -81.812,55|202502
56|Despesas operacionais|Serviços de terceiros|Serviços de informática|||      -1.018.393,25|202502
57|Despesas operacionais|Serviços de terceiros|Equipamentos|||        -148.186,23|202502
58|Despesas operacionais|Eventos|Eventos|||        -519.241,43|202502
59|Despesas operacionais|Eventos|Patrocínio de eventos|||                  0|202502
60|Despesas operacionais|Eventos|Outros eventos|||                  0|202502
61|Despesas operacionais|Localização|Serviços de limpeza|||         -24.900,00|202502
62|Despesas operacionais|Localização|Condomínio|||        -157.482,15|202502
63|Despesas operacionais|Localização|Conservação, manutenção e reparos|||          -5.400,00|202502
64|Despesas operacionais|Localização|Outras|||         -45.401,62|202502
65|Despesas operacionais|Localização|Energia elétrica|||         -56.987,75|202502
66|Despesas operacionais|Localização|Aluguel|||            -900,00|202502
67|Despesas operacionais|Localização|Depreciação e amortização|||        -332.294,14|202502
68|Despesas operacionais|Marketing|Comunicação institucional|||        -300.023,46|202502
69|Despesas operacionais|Marketing|Anúncios e editais|||                  0|202502
70|Despesas operacionais|Marketing|Propaganda e divulgação|||        -585.402,90|202502
71|Despesas operacionais|Representação institucional|Despesas De Viagens Em Congressos E Seminarios|||                  0|202502
72|Despesas operacionais|Representação institucional|Viagens|||        -681.990,82|202502
73|Despesas operacionais|Representação institucional|Representação institucional|||                  0|202502
74|Despesas operacionais|Representação institucional|Representação Social|||         -18.303,30|202502
75|Despesas operacionais|Representação institucional|Representação Em Congressos E Seminarios|||                  0|202502
76|Despesas operacionais|Doações e contribuições|Anuidades a entidades de classe|||            -560,15|202502
77|Despesas operacionais|Doações e contribuições|Contribuicoes, mensalidades e anuidades |||        -108.554,00|202502
78|Despesas operacionais|Doações e contribuições|Doacoes|||         -20.000,00|202502
79|Despesas operacionais|Outras despesas|Material de expediente|||         -42.640,95|202502
80|Despesas operacionais|Outras despesas|Comunicação|||         -37.376,83|202502
81|Despesas operacionais|Outras despesas|Convênios|||                  0|202502
82|Despesas operacionais|Outras despesas|Veículos|||         -17.402,48|202502
83|Despesas operacionais|Outras despesas|Crédito COFINS|||          36.558,42|202502
84|Despesas operacionais|Outras despesas|Diversos|Impostos e taxas||          -2.000,00|202502
85|Despesas operacionais|Outras despesas|Diversos|Acordos judiciais||         -25.067,18|202502
86|Despesas operacionais|Outras despesas|Diversos|Baixas e cobranças||                  0|202502
87|Despesas operacionais|Outras despesas|Diversos|Provisão para crédito de liquidação duvidosa||        -409.768,86|202502
88|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Refeição|          -6.466,67|202502
89|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Assinaturas e M. Técnicos|         -58.459,66|202502
90|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Representação Social|            -270,00|202502
91|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Maq., mov, equip. e utensílios|            -310,19|202502
92|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Brindes|                  0|202502
93|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Uniformne|                  0|202502
94|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Livros, Jornais e Revistas|            -313,00|202502
95|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Logística|                  0|202502
96|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Outras desp administrativas|         -12.016,72|202502
97|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Despesas diversas de eventos|                  0|202502
98|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Bens de pequeno valor|          -1.852,00|202502
99|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Impressões / Material gráfico|                  0|202502
100|Resultado operacional|||||      -3.394.434,39|202502
101|Resultado de equivalência patrimonial|||||                  0|202502
102|Resultado não operacional|||||                  0|202502
103|Receitas financeiras|||||       4.320.962,83|202502
104|Despesas financeiras|||||        -926.113,69|202502
105|Resultado financeiro|||||       3.394.849,14|202502
106|Superávit do exercício|||||             414,75|202502
1|Receita Bruta|||||      18.546.168,86|202503
2|Tributos|ISS||||        -927.309,51|202503
3|Tributos|COFINS||||      -1.409.509,35|202503
4|Receita operacional líquida|||||      16.209.350,00|202503
5|Custos dos serviços prestados|Consultas|Sistema de Contratos (Ex-Sircof)|||                  0|202503
6|Custos dos serviços prestados|Consultas|SISEG|||         -94.372,13|202503
7|Custos dos serviços prestados|Consultas|Sistema Nacional de Gravames - SNG|||      -4.913.420,76|202503
8|Custos dos serviços prestados|Outros custos||||                  0|202503
9|Margem bruta|||||      11.201.557,11|202503
10|Despesas operacionais|Pessoal|Despesa com empregados|Gratificacoes||          -6.992,68|202503
11|Despesas operacionais|Pessoal|Despesa com empregados|Horas Extras||         -76.587,30|202503
12|Despesas operacionais|Pessoal|Despesa com empregados|Salários||      -2.083.028,77|202503
13|Despesas operacionais|Pessoal|Despesa com empregados|Ferias||        -273.320,49|202503
14|Despesas operacionais|Pessoal|Despesa com empregados|Adicional Por Tempo De Servico||                  0|202503
15|Despesas operacionais|Pessoal|Despesa com empregados|Bonus||         -10.433,62|202503
16|Despesas operacionais|Pessoal|Despesa com empregados|Decimo - Terceiro Salario||        -187.049,15|202503
17|Despesas operacionais|Pessoal|Despesa com empregados|Pro Labore||                  0|202503
18|Despesas operacionais|Pessoal|Despesas com indenizacoes|Aviso Previo||         -21.691,47|202503
19|Despesas operacionais|Pessoal|Despesas com indenizacoes|Ferias Indenizadas||          -2.408,29|202503
20|Despesas operacionais|Pessoal|Despesas com indenizacoes|Multa Rescisao Fgts||         -10.318,04|202503
21|Despesas operacionais|Pessoal|Despesas com indenizacoes|Indenizacoes Trabalhistas||                  0|202503
22|Despesas operacionais|Pessoal|Despesas com indenizacoes|Multa Sobre Rescisao||                  0|202503
23|Despesas operacionais|Pessoal|Despesas com indenizacoes|13º Salario Proporcional (Indenizado)||          -1.791,67|202503
24|Despesas operacionais|Pessoal|Despesas com assistencia social|Assistencia Medica E Odontologica|Assistencia Odontologica|         -62.011,39|202503
25|Despesas operacionais|Pessoal|Despesas com assistencia social|Assistencia Medica E Odontologica|Assistencia Medica|        -412.024,54|202503
26|Despesas operacionais|Pessoal|Despesas com assistencia social|Instrucao|Ajuda Educacional|                  0|202503
27|Despesas operacionais|Pessoal|Despesas com assistencia social|Instrucao|Bolsa Estagio|         -38.559,72|202503
28|Despesas operacionais|Pessoal|Despesas com assistencia social|Treinamento|Cursos, Seminarios E Palestras|         -14.215,46|202503
29|Despesas operacionais|Pessoal|Despesas com assistencia social|Seguros|Seguro De Vida Em Grupo|         -43.512,12|202503
30|Despesas operacionais|Pessoal|Despesas com assistencia social|Alimentacao / Refeicao|Vale Alimentacao|        -191.070,38|202503
31|Despesas operacionais|Pessoal|Despesas com assistencia social|Alimentacao / Refeicao|Vale Refeicao|        -166.397,17|202503
32|Despesas operacionais|Pessoal|Despesas com assistencia social|Vale Transporte|Vale Transporte|          -9.515,91|202503
33|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Educacao|                  0|202503
34|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Doenca|                  0|202503
35|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Creche|         -10.544,16|202503
36|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Ambulatorio|                  0|202503
37|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Medicina Do Trabalho|          -2.611,40|202503
38|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Seguranca Do Trabalho|                  0|202503
39|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Baba|            -958,56|202503
40|Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Programas Assistenciais|                  0|202503
41|Despesas operacionais|Pessoal|Despesas com assistencia social|Plano de Previdência Privada|Previdência Privada|         -84.923,03|202503
42|Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ Ferias|         -60.966,83|202503
43|Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ 13º Salario|         -48.154,47|202503
44|Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ Folha De Pagamento|        -555.145,60|202503
45|Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Ferias|         -19.100,91|202503
46|Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Rescisao|          -3.200,67|202503
47|Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Folha De Pagamento|        -172.463,33|202503
48|Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ 13º Salario|         -15.087,93|202503
49|Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ Folha De Pagamento|         -21.788,29|202503
50|Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ 13º Salario|          -1.870,60|202503
51|Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ Ferias|          -2.390,89|202503
52|Despesas operacionais|Serviços de terceiros|Honorários de consultoria|||      -1.063.532,14|202503
53|Despesas operacionais|Serviços de terceiros|Honorários advocatícios|||      -2.086.048,88|202503
54|Despesas operacionais|Serviços de terceiros|Honorários de auditoria|||                  0|202503
55|Despesas operacionais|Serviços de terceiros|Outros serviços de terceiros|||        -176.156,94|202503
56|Despesas operacionais|Serviços de terceiros|Serviços de informática|||      -1.291.500,82|202503
57|Despesas operacionais|Serviços de terceiros|Equipamentos|||        -153.500,71|202503
58|Despesas operacionais|Eventos|Eventos|||        -219.245,10|202503
59|Despesas operacionais|Eventos|Patrocínio de eventos|||                  0|202503
60|Despesas operacionais|Eventos|Outros eventos|||                  0|202503
61|Despesas operacionais|Localização|Serviços de limpeza|||         -29.418,00|202503
62|Despesas operacionais|Localização|Condomínio|||        -263.118,13|202503
63|Despesas operacionais|Localização|Conservação, manutenção e reparos|||          -3.215,00|202503
64|Despesas operacionais|Localização|Outras|||         -45.338,72|202503
65|Despesas operacionais|Localização|Energia elétrica|||         -57.702,16|202503
66|Despesas operacionais|Localização|Aluguel|||            -900,00|202503
67|Despesas operacionais|Localização|Depreciação e amortização|||        -318.795,23|202503
68|Despesas operacionais|Marketing|Comunicação institucional|||         -94.347,00|202503
69|Despesas operacionais|Marketing|Anúncios e editais|||                  0|202503
70|Despesas operacionais|Marketing|Propaganda e divulgação|||        -634.586,49|202503
71|Despesas operacionais|Representação institucional|Despesas De Viagens Em Congressos E Seminarios|||                  0|202503
72|Despesas operacionais|Representação institucional|Viagens|||        -419.707,29|202503
73|Despesas operacionais|Representação institucional|Representação institucional|||                  0|202503
74|Despesas operacionais|Representação institucional|Representação Social|||         -14.672,86|202503
75|Despesas operacionais|Representação institucional|Representação Em Congressos E Seminarios|||                  0|202503
76|Despesas operacionais|Doações e contribuições|Anuidades a entidades de classe|||                  0|202503
77|Despesas operacionais|Doações e contribuições|Contribuicoes, mensalidades e anuidades |||          -1.177,00|202503
78|Despesas operacionais|Doações e contribuições|Doacoes|||         -20.000,00|202503
79|Despesas operacionais|Outras despesas|Material de expediente|||         -32.342,07|202503
80|Despesas operacionais|Outras despesas|Comunicação|||         -35.605,72|202503
81|Despesas operacionais|Outras despesas|Convênios|||                  0|202503
82|Despesas operacionais|Outras despesas|Veículos|||          -2.852,54|202503
83|Despesas operacionais|Outras despesas|Crédito COFINS|||           7.172,28|202503
84|Despesas operacionais|Outras despesas|Diversos|Impostos e taxas||          -2.122,40|202503
85|Despesas operacionais|Outras despesas|Diversos|Acordos judiciais||        -135.067,18|202503
86|Despesas operacionais|Outras despesas|Diversos|Baixas e cobranças||             534,19|202503
87|Despesas operacionais|Outras despesas|Diversos|Provisão para crédito de liquidação duvidosa||        -244.566,54|202503
88|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Refeição|          -2.910,80|202503
89|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Assinaturas e M. Técnicos|         -26.022,36|202503
90|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Representação Social|            -270,00|202503
91|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Maq., mov, equip. e utensílios|          -3.715,00|202503
92|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Brindes|                  0|202503
93|Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Uniformne|                  0|202503
