DESCRICAO|CONTA|01/2024|02/2024|03/2024|04/2024|05/2024|06/2024|07/2024|08/2024|09/2024|10/2024|11/2024|12/2024
   Recebimento de mútuo|030620|                  0|         615.479,71|       1.695.914,62|                  0|                  0|                  0|                  0|           5.763,18|                  0|                  0|                  0|                  0
   Outros Ingressos|030621|                  0|                  0|                  0|              54,09|              49,00|             307,99|         107.834,80|         492.839,09|              37,91|           6.738,49|              19,91|           3.754,74
  Receitas Financeiras|0307|                  0|                  0|                  0|                  0|             315,68|          40.916,13|             354,22|                  0|                  0|             392,84|                  0|          16.341,90
   Juros e Multa Recebidos|030701|                  0|                  0|                  0|                  0|             315,68|          40.916,13|             354,22|                  0|                  0|             392,84|                  0|          16.341,90
 Saídas de Caixa|04|      18.131.259,58|      17.140.087,57|      16.706.982,31|      19.523.518,96|      26.000.846,74|      30.244.619,57|      22.877.160,66|      28.556.982,12|      20.811.599,32|      21.299.528,85|      22.645.517,25|      34.212.252,23
  Despesas com pessoal|0401|       2.334.997,35|       2.451.847,82|       2.011.180,24|       2.474.414,64|       3.156.793,25|       1.775.952,26|       2.317.162,16|       1.685.322,36|       1.642.764,35|       1.706.272,27|       1.698.877,27|       3.821.196,47
   Salários|040101|       1.468.675,17|       2.223.376,52|       1.917.178,62|       2.219.470,14|       1.848.619,07|       1.573.241,44|       1.905.646,76|       1.466.056,60|       1.488.444,62|       1.539.872,54|       1.604.955,54|       2.836.992,94
   Férias|040104|         462.751,83|         142.850,06|          38.037,88|         189.651,64|          74.146,31|         105.575,88|         333.498,93|         149.387,32|          89.803,10|          98.816,93|          25.472,56|         320.567,07
   13º salário|040105|                  0|                  0|                  0|                  0|       1.153.304,86|                  0|                  0|                  0|                  0|                  0|                  0|         617.289,34
   Outras Obrigações a pagar|040106|         415.332,86|          96.792,14|          81.013,16|          87.544,94|         102.638,39|          97.314,94|          78.196,47|          69.878,44|          64.516,63|          67.582,80|          68.449,17|          46.347,12
  Despesas com indenizações|0402|          27.695,39|         148.913,39|             628,25|         124.984,58|       1.755.859,96|       2.334.528,25|         936.004,54|         910.824,71|          97.487,03|                  0|          43.996,81|         115.823,05
   Indenização/Rescisão/Acordo|040201|          21.528,09|         115.106,11|             628,25|         101.274,23|       1.135.832,42|       1.738.854,44|         527.623,76|         558.541,64|          66.357,96|                  0|          43.965,54|         115.823,05
   Multa Rescisão FGTS|040202|           6.167,30|          33.807,28|                  0|          23.710,35|         620.027,54|         595.673,81|         408.380,78|         352.283,07|          31.129,07|                  0|              31,27|                  0
  Despesas com assistencia socia|0403|         749.487,30|         237.260,70|       1.254.417,03|         760.283,86|         920.254,51|         763.249,62|         739.600,87|         729.373,15|         725.807,48|         710.627,88|         703.764,62|         703.167,95
   Assistencia medica|040301|         441.573,83|                  0|         883.297,66|         444.988,12|         620.479,13|         487.389,15|         489.378,44|         480.650,89|         484.901,86|         472.974,39|         466.236,12|         463.916,66
   Assistencia odontologica|040302|          66.472,51|                  0|         131.755,65|          66.604,66|          65.943,90|          90.414,69|          70.698,51|          69.284,54|          72.819,46|          69.567,33|          68.294,76|          68.577,55
   Previdência Privada|040309|         241.440,96|         237.260,70|         239.363,72|         248.691,08|         233.831,48|         185.445,78|         179.523,92|         179.437,72|         168.086,16|         168.086,16|         169.233,74|         170.673,74
  Despesas com Treinamento|0404|                  0|          10.651,80|          25.265,77|          17.860,93|          25.766,03|           3.611,45|                  0|          29.972,94|          33.889,26|          12.908,53|          15.354,68|          53.516,40
   Bolsa estagio|040401|                  0|                  0|                  0|                  0|                  0|                  0|                  0|           2.672,94|           1.306,77|           2.910,53|             356,39|             712,79
   Ajuda educacional|040402|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|           1.127,52|                  0|                  0|                  0
   Cursos, Seminarios e Palestras|040404|                  0|          10.651,80|          24.736,92|          17.301,80|          25.766,03|           3.611,45|                  0|          27.300,00|          31.454,97|           9.998,00|          14.833,63|          52.803,61
   Desp. viagens  treinamento|040405|                  0|                  0|             528,85|             559,13|                  0|                  0|                  0|                  0|                  0|                  0|             164,66|                  0
  Despesas com Benefícios|0405|         389.666,00|         383.146,48|         345.597,22|         451.353,53|         409.768,09|         353.244,10|         496.519,50|         417.956,39|         425.909,41|         419.502,88|         417.372,65|         574.870,60
   Seguro de vida em grupo|040501|          44.928,43|          44.181,76|                  0|          43.790,10|          43.956,41|                  0|         140.994,07|          43.367,99|          41.892,11|          42.249,81|          41.975,03|          42.192,87
   Vale alimentacão|040502|         171.905,28|         170.292,98|         173.619,64|         207.996,36|         183.000,16|         176.245,55|         177.976,69|         185.899,45|         186.659,11|         187.473,16|         189.015,54|         342.267,60
   Vale refeição|040503|         151.015,10|         146.922,44|         150.276,58|         177.696,39|         159.641,02|         152.756,41|         152.993,94|         165.353,55|         168.363,09|         166.219,31|         166.004,34|         166.256,43
   Vale transporte|040504|          21.817,19|          21.749,30|          21.701,00|          21.870,68|          23.170,50|          24.242,14|          24.554,80|          23.335,40|          28.995,10|          23.560,60|          20.377,74|          24.153,70
  Outras despesas assistenciais|0406|           2.255,49|           2.202,04|           2.191,35|           2.169,97|          27.691,35|          11.063,10|          67.416,50|           2.212,72|           3.179,45|           3.682,86|          54.615,45|           4.651,12
   Medicina do trabalho|040604|           2.255,49|           2.202,04|           2.191,35|           2.169,97|           2.191,35|           2.234,10|           2.255,49|           2.212,72|           2.279,45|           3.537,93|           2.341,00|           2.362,38
   Segurança do trabalho|040605|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|             144,93|                  0|           2.288,74
   Outras desp. Assistenciais|040608|                  0|                  0|                  0|                  0|          25.500,00|           8.829,00|          65.161,01|                  0|             900,00|                  0|          52.274,45|                  0
  Despesas com encargos sociais|0407|       3.753.015,37|       1.571.012,09|       1.968.413,92|       1.579.533,82|       1.881.087,73|       1.763.610,40|       1.573.817,92|       1.808.416,67|       1.345.566,46|       1.288.785,04|       1.277.857,64|       1.952.580,25
   INSS|040701|       1.428.675,49|         904.975,33|         984.399,67|         815.433,80|         952.076,12|         883.256,60|         844.921,32|         945.818,47|         736.328,99|         724.257,62|         699.316,83|       1.361.325,87
   FGTS|040702|         509.426,36|         236.068,05|         263.478,11|         217.730,52|         258.454,80|         278.204,86|         176.548,05|         241.991,10|         173.585,66|         175.029,55|         185.329,96|         181.008,30
   PIS|040703|          64.335,10|                  0|          64.661,04|          27.257,52|          32.373,60|          29.584,60|          27.807,41|          31.241,53|          23.381,71|          22.085,68|          21.987,63|          22.509,61
   IRRF Funcionários|040704|       1.750.578,42|         429.968,71|         655.875,10|         519.111,98|         638.183,21|         572.564,34|         524.541,14|         589.365,57|         412.270,10|         367.412,19|         371.223,22|         387.736,47
  Despesas Localização e Funcion|0408|         229.119,47|         678.370,45|         265.967,37|         239.981,73|         259.333,33|         271.366,50|         621.122,87|         267.922,74|         258.361,71|         277.593,92|         226.763,87|         282.740,53
   Aluguel|040801|           1.350,00|           1.350,00|           1.350,00|           1.350,00|           1.350,00|          39.502,21|         389.085,55|          22.912,00|          22.705,00|          18.230,00|           5.584,39|          22.464,39
   Condominio|040802|         151.187,67|         151.187,67|         151.157,67|         145.414,52|         145.474,52|         155.147,41|         153.527,72|         166.498,12|         163.589,35|         162.153,17|         160.268,27|         165.282,84
   Seguros de  imóvel|040803|                  0|                  0|                  0|                  0|                  0|                  0|                  0|           2.684,52|           1.590,12|           9.362,35|                  0|                  0
   Energia Eletrica|040804|          56.336,10|          55.393,80|          57.310,92|          48.154,39|          48.545,44|          47.460,76|          44.095,23|          36.913,56|          43.614,44|          45.562,74|          58.389,74|          49.285,78
   Despesa Antecipada|040805|                  0|         436.022,13|                  0|                  0|          40.784,18|                  0|                  0|          10.250,10|           2.619,47|                  0|                  0|                  0
   Servicos de Limpeza|040806|          20.053,82|          24.872,88|          20.235,52|          42.058,85|          19.335,22|          21.102,15|          27.820,40|          22.451,37|          21.839,36|          25.863,69|             117,50|          42.557,00
   Conservacao, Manutenção e Repa|040807|                  0|           9.543,97|           5.489,87|           3.003,97|           3.843,97|           8.153,97|           6.593,97|           6.213,07|           2.403,97|          16.421,97|           2.403,97|           3.150,52
   Taxa de Servicos Mun. Est.|040808|             191,88|                  0|          30.423,39|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0
  Despesas de Comunicação|0409|          58.704,67|          37.127,21|          12.375,30|          69.622,09|          35.114,14|          25.318,29|          39.985,43|          29.325,08|          38.497,90|          32.163,97|          33.346,30|          56.539,95
   Telefonia Fixa|040901|           4.623,94|           4.493,92|           4.671,04|           4.738,78|           4.742,52|           4.568,68|           4.831,54|           4.531,17|           4.678,62|           4.700,50|          12.695,58|          17.749,83
   Telefonia móvel|040902|           5.025,30|           4.817,43|           1.124,44|           9.223,03|           5.117,68|           5.180,28|           5.173,12|           5.168,44|           5.166,16|           5.180,40|           5.279,27|           5.539,79
   Correios|040903|           8.008,51|           1.429,22|           2.841,67|             996,00|           1.537,79|           1.000,00|           1.000,00|           1.024,50|           2.119,43|             931,83|           2.270,88|           1.163,60
   Malotes|040904|             225,00|                  0|             120,00|             365,00|           1.080,00|                  0|             520,00|             335,00|                  0|                  0|              30,00|                  0
   Tv Por Assinatura|040905|             945,66|             942,47|             942,47|             942,24|             942,24|             942,24|             946,08|             957,24|             957,24|             963,53|             963,53|             963,53
   Links de Internet|040906|          38.683,93|          24.251,84|           1.400,00|          52.045,82|          20.402,75|          12.335,93|          26.058,63|          15.882,57|          24.150,52|          18.941,55|          10.824,27|          29.120,31
   Acesso Movel Internet|040908|           1.192,33|           1.192,33|           1.275,68|           1.311,22|           1.291,16|           1.291,16|           1.456,06|           1.426,16|           1.425,93|           1.446,16|           1.282,77|           2.002,89
  Despesas com Veículos|0410|          11.068,93|           7.796,58|         128.180,35|           4.274,83|           5.877,55|           6.105,60|           3.145,70|           4.793,18|          14.446,16|           6.633,95|           4.440,64|          13.401,96
   Aluguel de Veículos|041001|           4.453,62|           4.453,62|           4.453,62|                  0|           2.226,81|                  0|                  0|           1.824,98|                  0|           2.543,64|                  0|           5.300,00
   Manutenção e Conserto Veículos|041002|                  0|                  0|                  0|                  0|             620,00|             150,00|                  0|                  0|           5.244,00|              39,70|                  0|           4.666,23
   Combustível|041003|           1.604,81|             484,42|           1.183,80|           1.358,28|           1.297,58|           1.414,43|           1.413,90|           1.455,40|           2.026,94|           1.665,61|           1.882,63|           1.307,77
   IPVA|041004|           4.149,08|           1.994,83|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0
   Seguros Veículos próprios|041005|                  0|             376,64|         121.523,54|                  0|                  0|           3.505,01|                  0|                  0|           5.160,42|                  0|                  0|                  0
   Outros (Ped., Lav., Est., Mul)|041006|             861,42|             487,07|           1.019,39|           2.916,55|           1.733,16|           1.036,16|           1.731,80|           1.512,80|           2.014,80|           2.385,00|           2.558,01|           2.127,96
  Despesas com Serviços de Terce|0411|       2.536.021,17|       1.270.532,87|       1.903.257,81|       2.730.257,63|       2.892.339,14|       3.938.617,45|       4.425.768,70|       3.257.737,34|       3.757.968,71|       3.986.679,62|       3.814.421,43|       5.938.354,80
   Honorarios de Auditoria|041101|          48.010,35|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|         108.098,68
   Honorarios de Consultoria|041102|         292.970,13|         275.693,53|         395.913,50|         286.375,92|         539.389,52|       1.497.098,15|       2.019.962,27|         978.924,95|       1.583.289,27|       1.117.253,92|       1.189.115,98|       1.749.906,86
   Honorarios Advocaticios|041103|         621.843,69|         318.845,61|         314.586,89|         380.218,56|         782.908,93|         390.442,76|         766.369,20|         602.157,16|         570.174,01|         905.356,04|       1.008.468,85|       1.295.583,49
   Pareceres Juridicos|041104|          28.155,00|                  0|          56.310,00|          28.155,00|          28.155,00|         149.873,16|         251.718,16|         186.310,00|          28.155,00|                  0|                  0|                  0
   Serviços Temporarios|041105|          18.206,98|          15.918,52|           5.125,72|          33.606,59|                  0|          24.354,39|          16.626,72|          16.658,52|          30.517,96|           4.551,32|                  0|                  0
   Serviços de Informatica|041106|       1.305.593,15|         572.090,20|       1.033.901,03|       1.497.249,57|         931.446,46|       1.759.439,12|       1.152.826,62|         935.377,13|       1.288.214,25|       1.124.538,84|       1.282.522,42|       1.986.359,73
   Honorarios de Assessorias|041107|          96.691,19|          76.386,79|          77.225,72|          69.667,36|          76.630,69|          78.435,04|         171.793,18|         148.279,15|         168.690,15|          97.151,84|          96.330,60|         119.814,60
   Gestao de Documentos|041108|           2.434,36|           4.434,36|           3.434,36|           5.868,72|           3.434,36|           3.434,36|           3.434,36|           3.434,36|           3.434,36|           3.517,83|           1.000,00|           6.035,46
   Servicos de Terceiros Diversos|041109|         122.116,32|           7.163,86|          16.760,59|         429.115,91|         530.374,18|          35.540,47|          43.038,19|         386.596,07|          85.493,71|         734.309,83|         236.983,58|         672.555,98
  Assessorias/Consultorias Insti|0412|                  0|              54,58|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0
   Assessorias/Consultorias Insti|041201|                  0|              54,58|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0
  Desp. c/ Equip. Maq. Mov. Uten|0414|         241.998,13|         223.719,49|         213.532,76|         258.335,31|         237.998,96|         191.135,76|         221.001,14|         193.102,04|         302.096,39|         235.909,73|         199.925,26|         476.516,87
   Aluguel de Equipamentos e Maq|041401|         164.872,51|         136.083,48|         122.178,44|         151.635,32|         172.464,70|         130.067,24|         134.942,24|         122.996,35|         206.431,33|         160.364,65|         113.763,89|         352.434,47
   Manutencao de Equip. Maq|041402|          19.996,86|          29.986,18|          20.862,88|          17.030,20|          16.133,14|          19.221,23|          26.503,95|          20.704,57|          19.617,94|          26.143,96|          12.563,33|          26.985,46
   Manut. Mov Utens Outros|041405|                  0|             521,07|          20.916,51|          32.416,00|                  0|                  0|           2.600,00|                  0|          26.646,00|                  0|          31.750,75|          39.987,60
   Leasing|041406|          57.128,76|          57.128,76|          49.574,93|          57.253,79|          49.401,12|          41.847,29|          56.954,95|          49.401,12|          49.401,12|          49.401,12|          41.847,29|          57.109,34
  Despesas com Propaganda e Publ|0415|         438.171,32|         180.072,40|         441.650,90|         430.874,14|         485.281,48|         573.535,40|         469.991,84|         536.282,23|         662.130,15|         674.785,09|         662.119,37|       1.731.376,25
   Propaganda Institucional|041501|         369.295,13|         140.066,48|         261.549,41|         349.201,04|         341.786,17|         484.571,19|         399.820,43|         395.760,82|         520.558,89|         587.009,84|         417.514,57|       1.319.619,11
   Anuncios e Editais|041502|                  0|                  0|                  0|                  0|             484,42|                  0|                  0|                  0|                  0|                  0|                  0|             577,83
   Propaganda-Divulgação-Publicid|041503|          68.876,19|          40.005,92|         180.101,49|          81.673,10|         143.010,89|          88.964,21|          70.171,41|         140.521,41|         141.571,26|          87.775,25|         244.604,80|         411.179,31
  Despesas com Viagens|0416|         264.221,58|         202.412,00|         524.874,86|         545.078,03|         577.251,34|         700.899,26|         418.882,45|         877.558,57|         801.147,56|       1.807.047,79|         352.870,61|       1.661.198,14
   Despesas com Viagens Nacionais|041601|         136.224,92|         197.857,18|         359.711,68|         528.484,61|         373.144,01|         397.691,61|         353.453,43|         330.675,57|         491.596,02|         520.986,38|         314.007,02|       1.337.104,01
    Passagens Nacionais|04160101|          88.504,50|         141.741,42|         317.255,32|         376.890,16|         270.621,95|         207.953,32|         262.858,51|         238.040,97|         326.918,71|         402.400,76|         206.592,09|         584.766,72
    Hospedagens Nacionais|04160102|          33.395,28|          48.839,50|          27.045,05|         132.423,49|          63.360,26|          63.934,00|          65.834,46|          76.855,85|         132.567,43|          79.141,92|          59.525,39|         629.390,74
    Transportes Nacionais|04160103|           1.728,99|           4.897,89|           8.171,99|           9.907,13|           9.975,51|          12.148,00|           9.771,18|           5.434,06|          10.383,86|          10.871,10|          13.785,56|          13.091,62
    Lanches e Refeiçoes Nacionais|04160104|             572,87|           2.378,37|           4.043,82|           5.958,33|          10.978,29|           7.395,69|           9.979,78|           8.223,69|          10.398,52|           8.910,10|          11.439,78|          10.635,53
    Outras Desp. viagens Nacionais|04160107|          12.023,28|                  0|           3.195,50|           3.305,50|          18.208,00|         106.260,60|           5.009,50|           2.121,00|          11.327,50|          19.662,50|          22.664,20|          99.219,40
   Despesas com Viagens Internaci|041602|         117.978,86|           1.866,47|         161.248,06|          10.062,09|         196.665,90|         293.732,76|          58.307,20|         536.887,13|         299.873,83|       1.272.734,53|          25.735,85|         305.259,86
    Passagens Internacionais|04160201|          13.077,86|                  0|         159.757,84|                  0|         163.107,11|         151.362,90|          44.493,65|         175.947,05|          95.191,62|         746.551,92|          20.505,18|          68.937,34
    Hospedagens Internacionais|04160202|         105.448,93|           1.051,19|                  0|                  0|          31.288,58|         133.411,33|          11.880,49|         358.049,55|         197.912,06|         520.607,24|           4.263,57|         213.701,51
    Transportes Internacionais|04160203|             112,17|             734,99|             328,42|                  0|             866,82|           1.557,84|              90,35|             311,15|                  0|             125,41|             236,39|           1.072,18
    Lanches e Refeiçoes Internacio|04160204|                  0|              80,29|             875,36|                  0|             659,94|           3.413,34|           1.633,67|           1.660,33|             168,00|           1.151,81|             736,51|          19.936,27
    Adiantamento para Viagem Inter|04160205|          -1.005,00|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|              -5,80|                  0
    Outras Despesas Internacionais|04160206|             344,90|                  0|             286,44|          10.062,09|             743,45|           3.987,35|             209,04|             919,05|           6.602,15|           4.298,15|                  0|           1.612,56
  Conducao e Passagem Urbana|041603|          10.017,80|           2.688,35|           3.915,12|           6.531,33|           7.441,43|           9.474,89|           7.121,82|           9.995,87|           9.677,71|          13.326,88|          13.127,74|          18.834,27
    Taxi|04160302|          10.017,80|           1.833,56|           2.039,15|           2.491,71|           2.696,42|           3.706,43|           1.590,66|           1.855,48|           3.985,37|           4.369,45|           2.531,74|           3.281,75
    Outros |04160303|                  0|                  0|                  0|                  0|                  0|             204,00|                  0|                  0|                  0|                  0|                  0|                  0
    UBER - transp. alternativo|04160304|                  0|             854,79|           1.875,97|           4.039,62|           4.745,01|           5.564,46|           5.531,16|           8.140,39|           5.692,34|           8.957,43|          10.596,00|          15.552,52
  Despesas com Expediente|0417|           3.447,50|          28.483,49|           9.477,06|         103.297,26|         265.627,03|          44.803,31|          47.426,19|          30.656,56|          32.490,97|          94.784,69|         241.970,95|          41.163,31
   Material de Escritorio|041701|           1.064,42|             639,57|             176,01|           8.602,57|             824,19|           2.851,65|           1.910,67|           1.327,92|           2.342,20|           2.398,30|             637,20|           3.944,26
   Material de Informatica|041702|             197,10|           8.776,16|             528,90|           2.686,25|           2.908,62|          25.389,39|          11.835,20|           2.835,00|          12.944,85|           3.379,94|           1.566,00|          13.876,15
   Material de Copa e Cozinha|041703|             585,00|           6.388,57|           3.893,21|           7.032,20|           6.439,29|           3.329,49|           4.872,12|           8.689,59|           7.088,55|           8.772,84|           6.145,02|          11.050,23
   Material de Manutencao|041704|             546,00|             266,72|             350,18|             414,47|             331,21|           6.111,35|           7.600,00|             282,00|              52,90|               9,93|             757,79|             568,00
   Material de Limpeza|041705|                  0|          10.410,99|           3.559,76|          17.442,94|           4.364,06|           4.188,18|          14.975,41|           5.776,00|             450,00|          14.316,77|          13.580,41|           6.580,60
   Despesas Legais e Judiciais|041706|           1.054,98|             441,48|             969,00|             517,69|               7,00|           1.848,25|           6.217,79|           9.822,45|           9.457,47|           2.295,84|           2.157,56|           4.491,57
   Copias e Reproducoes|041707|                  0|           1.560,00|                  0|           4.843,60|           1.828,00|           1.085,00|              15,00|           1.923,60|             155,00|           1.092,00|          29.630,00|             652,50
   Processos Judiciais|041709|                  0|                  0|                  0|          61.757,54|         248.924,66|                  0|                  0|                  0|                  0|          62.519,07|         187.496,97|                  0
  Despesas com Eventos|0418|         896.142,09|          16.352,40|         119.995,07|       1.311.207,08|       1.465.837,59|       3.283.713,49|       1.170.463,66|         169.101,12|       1.453.463,57|       1.204.364,81|         839.729,92|       2.771.500,64
   Realizacao de Eventos|041801|         242.998,75|                  0|                  0|         923.026,68|         730.134,96|       1.993.254,44|         866.806,41|          34.304,25|          36.080,75|          20.200,00|         103.253,30|           9.358,00
    Honor Palestrantes/Agenciament|04180101|           3.000,00|                  0|                  0|                  0|                  0|           3.000,00|           7.500,00|                  0|          10.000,00|          16.200,00|                  0|           5.683,00
    Materiais Para Eventos|04180102|                  0|                  0|                  0|                  0|           1.500,00|           7.500,00|                  0|                  0|                  0|                  0|             253,30|                  0
    Aluguel de Espaço p/Eventos|04180103|                  0|                  0|                  0|         875.861,43|         673.343,00|           1.120,00|          23.530,00|          34.304,25|          26.080,75|           4.000,00|         103.000,00|           3.675,00
    Desp. custos com eventos|04180104|         239.998,75|                  0|                  0|          47.165,25|          55.291,96|       1.981.634,44|         835.776,41|                  0|                  0|                  0|                  0|                  0
   Participação em Eventos|041802|                  0|                  0|                  0|                  0|                  0|                  0|          15.330,50|          20.405,00|          11.367,73|                  0|             400,00|                  0
   Patrocínio de Eventos|041803|         600.000,00|          15.000,00|          40.000,00|          78.000,00|         340.000,00|       1.203.400,00|         200.000,00|          35.000,00|       1.210.000,00|         954.707,17|                  0|         849.184,00
   Outras Desp Eventos|041804|          43.859,95|                  0|                  0|          12.697,80|          81.584,90|           3.630,30|             285,00|          16.156,94|          23.034,00|          14.311,18|          31.950,00|         420.294,29
   Desp Serv Org Festas -Eventos|041805|           3.092,89|                  0|          76.047,68|         162.887,10|         256.399,40|          83.000,00|          64.470,00|          60.000,00|         158.146,36|          68.729,80|         114.845,28|       1.267.122,01
   Desp Serv. Terceiros Eventos|041806|           5.341,00|             879,00|           3.622,49|           9.260,00|          14.104,33|                  0|                  0|                  0|             866,98|           1.196,16|           5.434,22|           7.675,84
   Cooffe Break - eventos interno|041807|             849,50|             473,40|             324,90|         125.335,50|          43.614,00|             428,75|          23.571,75|           3.234,93|          13.967,75|           2.420,50|          12.647,12|         211.716,50
   Desp. Antecipada de Eventos|041808|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|         142.800,00|         571.200,00|           6.150,00
  Despesas com Doações e Contrib|0421|          48.111,61|          27.552,62|          34.658,75|          20.720,00|          94.878,62|          22.294,31|          22.654,31|          22.654,31|          23.014,31|          22.264,81|          23.828,31|          34.952,61
   Contribuições a Entidades|042101|           2.654,31|           2.654,31|           2.294,31|             720,00|           4.948,62|           2.294,31|           2.654,31|           2.654,31|           3.014,31|           2.654,31|           3.828,31|           3.014,31
   Doações Diversas|042102|          20.000,00|          20.000,00|          20.000,00|          20.000,00|          20.000,00|          20.000,00|          20.000,00|          20.000,00|          20.000,00|          20.000,00|          20.000,00|          20.000,00
   Anuidades|042103|          25.457,30|           4.898,31|          12.364,44|                  0|          69.930,00|                  0|                  0|                  0|                  0|            -389,50|                  0|          11.938,30
  Despesas Diversas|0422|          16.318,46|          30.305,16|          91.516,88|         160.403,53|         418.080,52|         128.169,34|          69.324,64|          81.653,17|          50.489,08|          47.015,41|          44.970,44|         135.488,88
   Livros, Jornais, Revistas |042201|             356,72|                  0|             269,40|           1.436,40|             782,50|           1.361,80|             156,50|             635,30|           1.068,87|           1.402,62|           1.554,75|             713,22
   Assinaturas e Manuais Tecnicos|042202|           1.056,00|           5.982,90|          12.221,21|          68.520,00|             105,20|                  0|             159,99|                  0|             119,00|             115,74|                  0|           4.748,59
   Bens de Pequeno Valor|042203|           1.308,72|             532,00|          52.337,52|           4.747,12|           7.310,55|           6.397,37|          13.340,38|           1.144,80|           1.263,29|           7.360,92|             194,90|          16.701,18
   Representacao Social |042204|           1.826,59|          16.102,50|          15.596,03|          81.253,49|         405.496,15|         115.533,96|          26.750,96|          48.621,30|          26.583,24|          23.863,35|          28.921,10|          99.843,50
   Uniformes|042205|           7.114,85|             124,76|                  0|                  0|                  0|                  0|                  0|           3.139,01|                  0|           9.772,20|                  0|                  0
   Outras Despesas Administrativa|042206|           1.749,00|           4.794,00|           8.043,05|           1.555,00|           2.135,00|           2.503,00|          24.554,91|          24.697,28|           7.623,29|           2.055,97|          12.237,24|           1.930,00
   Brindes|042207|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|           9.841,65|                  0|                  0|                  0
