NIVEL1|NIVEL2|NIVEL3|NIVEL4|NIVEL5|TOTAL|ANOMES
Despesas operacionais|Eventos|Outros eventos|||                  0|202401
Despesas operacionais|Localização|Condomínio|||        -154.460,74|202401
Despesas operacionais|Localização|Conservação, manutenção e reparos|||          -6.182,44|202401
Despesas operacionais|Localização|Energia elétrica|||         -48.072,63|202401
Despesas operacionais|Localização|Aluguel|||                  0|202401
Despesas operacionais|Localização|Depreciação e amortização|||        -291.994,42|202401
Despesas operacionais|Localização|Outras|||        -471.822,30|202401
Despesas operacionais|Localização|Serviços de limpeza|||         -25.799,58|202401
Despesas operacionais|Marketing|Anúncios e editais|||         -12.250,00|202401
Despesas operacionais|Marketing|Comunicação institucional|||                  0|202401
Despesas operacionais|Marketing|Propaganda e divulgação|||        -517.238,60|202401
Despesas operacionais|Representação institucional|Representação Social|||         -40.124,99|202401
Despesas operacionais|Representação institucional|Representação institucional|||                  0|202401
Despesas operacionais|Representação institucional|Viagens|||         -26.540,00|202401
Despesas operacionais|Representação institucional|Despesas De Viagens Em Congressos E Seminarios|||          -3.250,00|202401
Despesas operacionais|Representação institucional|Representação Em Congressos E Seminarios|||         -47.490,00|202401
Despesas operacionais|Doações e contribuições|Contribuicoes, mensalidades e anuidades |||          -7.820,73|202401
Despesas operacionais|Doações e contribuições|Anuidades a entidades de classe|||         -19.836,55|202401
Despesas operacionais|Doações e contribuições|Doacoes|||         -37.295,00|202401
Despesas operacionais|Outras despesas|Convênios|||         -96.000,00|202401
Despesas operacionais|Outras despesas|Comunicação|||         -44.925,17|202401
Despesas operacionais|Outras despesas|Material de expediente|||         -19.384,59|202401
Despesas operacionais|Outras despesas|Veículos|||         -19.803,77|202401
Despesas operacionais|Outras despesas|Crédito COFINS|||          28.686,68|202401
Despesas operacionais|Outras despesas|Diversos|Impostos e taxas||                  0|202401
Despesas operacionais|Outras despesas|Diversos|Acordos judiciais||                  0|202401
Despesas operacionais|Outras despesas|Diversos|Baixas e cobranças||                  0|202401
Despesas operacionais|Outras despesas|Diversos|Provisão para crédito de liquidação duvidosa||                  0|202401
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Livros, Jornais e Revistas|         -29.222,71|202401
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Uniformne|          -1.000,00|202401
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Outras desp administrativas|          -9.254,10|202401
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Despesas diversas de eventos|                  0|202401
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Bens de pequeno valor|          -1.753,88|202401
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Impressões / Material gráfico|          -8.334,00|202401
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Logística|            -586,67|202401
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Representação Social|                  0|202401
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Brindes|          -2.610,25|202401
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Maq., mov, equip. e utensílios|                  0|202401
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Refeição|          -4.100,00|202401
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Assinaturas e M. Técnicos|                  0|202401
Resultado operacional|||||        -938.183,47|202401
Resultado de equivalência patrimonial|||||                  0|202401
Resultado não operacional|||||                  0|202401
Receitas financeiras|||||       4.125.876,22|202401
Despesas financeiras|||||        -920.549,79|202401
Resultado financeiro|||||       3.205.326,43|202401
Superávit do exercício|||||       2.267.142,96|202401
Receita Bruta|||||      15.098.976,49|202402
Tributos|ISS||||        -752.448,83|202402
Tributos|COFINS||||      -1.147.522,24|202402
Receita operacional líquida|||||      13.199.005,42|202402
Custos dos serviços prestados|Consultas|Sistema Nacional de Gravames - SNG|||      -3.697.970,52|202402
Custos dos serviços prestados|Consultas|SISEG|||        -193.549,60|202402
Custos dos serviços prestados|Consultas|Sistema de Contratos (Ex-Sircof)|||                  0|202402
Custos dos serviços prestados|Outros custos||||                  0|202402
Margem bruta|||||       9.307.485,30|202402
Despesas operacionais|Pessoal|Despesa com empregados|Pro Labore||                  0|202402
Despesas operacionais|Pessoal|Despesa com empregados|Ferias||         -81.192,84|202402
Despesas operacionais|Pessoal|Despesa com empregados|Gratificacoes||          -8.184,85|202402
Despesas operacionais|Pessoal|Despesa com empregados|Horas Extras||                  0|202402
Despesas operacionais|Pessoal|Despesa com empregados|Salários||      -2.914.758,60|202402
Despesas operacionais|Pessoal|Despesa com empregados|Decimo - Terceiro Salario||        -243.578,65|202402
Despesas operacionais|Pessoal|Despesa com empregados|Adicional Por Tempo De Servico||                  0|202402
Despesas operacionais|Pessoal|Despesa com empregados|Bonus||        -544.805,38|202402
Despesas operacionais|Pessoal|Despesas com indenizacoes|Aviso Previo||                  0|202402
Despesas operacionais|Pessoal|Despesas com indenizacoes|Ferias Indenizadas||                  0|202402
Despesas operacionais|Pessoal|Despesas com indenizacoes|Multa Rescisao Fgts||                  0|202402
Despesas operacionais|Pessoal|Despesas com indenizacoes|13º Salario Proporcional (Indenizado)||                  0|202402
Despesas operacionais|Pessoal|Despesas com indenizacoes|Multa Sobre Rescisao||                  0|202402
Despesas operacionais|Pessoal|Despesas com indenizacoes|Indenizacoes Trabalhistas||                  0|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Assistencia Medica E Odontologica|Assistencia Odontologica|         -70.477,66|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Assistencia Medica E Odontologica|Assistencia Medica|        -472.139,54|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Instrucao|Ajuda Educacional|          -8.833,33|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Instrucao|Bolsa Estagio|         -32.537,89|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Treinamento|Cursos, Seminarios E Palestras|         -15.000,00|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Seguros|Seguro De Vida Em Grupo|         -47.677,68|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Alimentacao / Refeicao|Vale Refeicao|        -199.576,27|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Alimentacao / Refeicao|Vale Alimentacao|        -154.226,91|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Vale Transporte|Vale Transporte|         -12.976,27|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Medicina Do Trabalho|          -2.399,07|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Ambulatorio|                  0|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Creche|         -11.668,73|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Doenca|                  0|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Seguranca Do Trabalho|          -1.177,29|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Educacao|                  0|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Programas Assistenciais|          -1.209,49|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Baba|            -486,20|202402
Despesas operacionais|Pessoal|Despesas com assistencia social|Plano de Previdência Privada|Previdência Privada|        -137.287,67|202402
Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ 13º Salario|         -62.112,56|202402
Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ Ferias|         -20.704,21|202402
Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ Folha De Pagamento|        -884.275,96|202402
Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Ferias|          -6.495,45|202402
Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Rescisao|                  0|202402
Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Folha De Pagamento|        -277.419,91|202402
Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ 13º Salario|         -19.486,29|202402
Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ Folha De Pagamento|         -34.677,48|202402
Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ 13º Salario|          -2.435,81|202402
Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ Ferias|            -811,92|202402
Despesas operacionais|Serviços de terceiros|Honorários advocatícios|||        -820.639,93|202402
Despesas operacionais|Serviços de terceiros|Honorários de consultoria|||        -289.348,64|202402
Despesas operacionais|Serviços de terceiros|Honorários de auditoria|||                  0|202402
Despesas operacionais|Serviços de terceiros|Equipamentos|||        -151.438,46|202402
Despesas operacionais|Serviços de terceiros|Serviços de informática|||      -1.933.607,13|202402
Despesas operacionais|Serviços de terceiros|Outros serviços de terceiros|||         -64.632,39|202402
Despesas operacionais|Eventos|Patrocínio de eventos|||                  0|202402
Despesas operacionais|Eventos|Eventos|||        -266.526,60|202402
Despesas operacionais|Eventos|Outros eventos|||                  0|202402
Despesas operacionais|Localização|Condomínio|||        -154.218,82|202402
Despesas operacionais|Localização|Conservação, manutenção e reparos|||          -6.182,44|202402
Despesas operacionais|Localização|Energia elétrica|||         -48.028,63|202402
Despesas operacionais|Localização|Aluguel|||                  0|202402
Despesas operacionais|Localização|Depreciação e amortização|||        -291.463,27|202402
Despesas operacionais|Localização|Outras|||          -4.422,30|202402
Despesas operacionais|Localização|Serviços de limpeza|||         -25.799,58|202402
Despesas operacionais|Marketing|Anúncios e editais|||         -22.250,00|202402
Despesas operacionais|Marketing|Comunicação institucional|||                  0|202402
Despesas operacionais|Marketing|Propaganda e divulgação|||        -616.810,00|202402
Despesas operacionais|Representação institucional|Representação Social|||         -40.724,99|202402
Despesas operacionais|Representação institucional|Representação institucional|||                  0|202402
Despesas operacionais|Representação institucional|Viagens|||         -39.208,70|202402
Despesas operacionais|Representação institucional|Despesas De Viagens Em Congressos E Seminarios|||          -3.250,00|202402
Despesas operacionais|Representação institucional|Representação Em Congressos E Seminarios|||          -7.490,00|202402
Despesas operacionais|Doações e contribuições|Contribuicoes, mensalidades e anuidades |||          -2.420,73|202402
Despesas operacionais|Doações e contribuições|Anuidades a entidades de classe|||            -380,00|202402
Despesas operacionais|Doações e contribuições|Doacoes|||         -37.295,00|202402
Despesas operacionais|Outras despesas|Convênios|||         -96.000,00|202402
Despesas operacionais|Outras despesas|Comunicação|||         -44.925,17|202402
Despesas operacionais|Outras despesas|Material de expediente|||         -23.884,59|202402
Despesas operacionais|Outras despesas|Veículos|||         -14.963,77|202402
Despesas operacionais|Outras despesas|Crédito COFINS|||          27.240,68|202402
Despesas operacionais|Outras despesas|Diversos|Impostos e taxas||                  0|202402
Despesas operacionais|Outras despesas|Diversos|Acordos judiciais||                  0|202402
Despesas operacionais|Outras despesas|Diversos|Baixas e cobranças||                  0|202402
Despesas operacionais|Outras despesas|Diversos|Provisão para crédito de liquidação duvidosa||                  0|202402
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Livros, Jornais e Revistas|         -29.222,71|202402
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Uniformne|          -1.000,00|202402
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Outras desp administrativas|          -8.524,10|202402
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Despesas diversas de eventos|                  0|202402
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Bens de pequeno valor|          -1.753,88|202402
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Impressões / Material gráfico|          -8.334,00|202402
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Logística|            -586,67|202402
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Representação Social|                  0|202402
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Brindes|          -2.610,25|202402
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Maq., mov, equip. e utensílios|                  0|202402
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Refeição|          -4.100,00|202402
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Assinaturas e M. Técnicos|          -5.505,64|202402
Resultado operacional|||||      -2.001.436,32|202402
Resultado de equivalência patrimonial|||||                  0|202402
Resultado não operacional|||||                  0|202402
Receitas financeiras|||||       3.320.684,77|202402
Despesas financeiras|||||        -745.416,01|202402
Resultado financeiro|||||       2.575.268,76|202402
Superávit do exercício|||||         573.832,44|202402
Receita Bruta|||||      24.465.880,12|202403
Tributos|ISS||||        -782.816,91|202403
Tributos|COFINS||||      -1.193.681,71|202403
Receita operacional líquida|||||      22.489.381,50|202403
Custos dos serviços prestados|Consultas|Sistema Nacional de Gravames - SNG|||      -3.971.722,82|202403
Custos dos serviços prestados|Consultas|SISEG|||        -193.484,02|202403
Custos dos serviços prestados|Consultas|Sistema de Contratos (Ex-Sircof)|||                  0|202403
Custos dos serviços prestados|Outros custos||||                  0|202403
Margem bruta|||||      18.324.174,66|202403
Despesas operacionais|Pessoal|Despesa com empregados|Pro Labore||                  0|202403
Despesas operacionais|Pessoal|Despesa com empregados|Ferias||         -81.192,84|202403
Despesas operacionais|Pessoal|Despesa com empregados|Gratificacoes||          -8.184,85|202403
Despesas operacionais|Pessoal|Despesa com empregados|Horas Extras||                  0|202403
Despesas operacionais|Pessoal|Despesa com empregados|Salários||      -2.914.758,60|202403
Despesas operacionais|Pessoal|Despesa com empregados|Decimo - Terceiro Salario||        -243.578,65|202403
Despesas operacionais|Pessoal|Despesa com empregados|Adicional Por Tempo De Servico||                  0|202403
Despesas operacionais|Pessoal|Despesa com empregados|Bonus||                  0|202403
Despesas operacionais|Pessoal|Despesas com indenizacoes|Aviso Previo||                  0|202403
Despesas operacionais|Pessoal|Despesas com indenizacoes|Ferias Indenizadas||                  0|202403
Despesas operacionais|Pessoal|Despesas com indenizacoes|Multa Rescisao Fgts||                  0|202403
Despesas operacionais|Pessoal|Despesas com indenizacoes|13º Salario Proporcional (Indenizado)||                  0|202403
Despesas operacionais|Pessoal|Despesas com indenizacoes|Multa Sobre Rescisao||                  0|202403
Despesas operacionais|Pessoal|Despesas com indenizacoes|Indenizacoes Trabalhistas||        -150.000,00|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Assistencia Medica E Odontologica|Assistencia Odontologica|         -70.477,66|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Assistencia Medica E Odontologica|Assistencia Medica|        -472.139,54|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Instrucao|Ajuda Educacional|          -8.833,33|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Instrucao|Bolsa Estagio|         -32.537,89|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Treinamento|Cursos, Seminarios E Palestras|         -15.000,00|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Seguros|Seguro De Vida Em Grupo|         -47.677,68|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Alimentacao / Refeicao|Vale Refeicao|        -199.576,27|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Alimentacao / Refeicao|Vale Alimentacao|        -154.226,91|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Vale Transporte|Vale Transporte|         -12.976,27|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Medicina Do Trabalho|          -2.399,07|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Ambulatorio|                  0|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Creche|         -11.668,73|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Doenca|                  0|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Seguranca Do Trabalho|          -1.177,29|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Educacao|                  0|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Programas Assistenciais|          -1.209,49|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Outras Despesas Assistenciais|Auxilio Baba|            -486,20|202403
Despesas operacionais|Pessoal|Despesas com assistencia social|Plano de Previdência Privada|Previdência Privada|        -137.287,67|202403
Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ 13º Salario|         -62.112,56|202403
Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ Ferias|         -20.704,21|202403
Despesas operacionais|Pessoal|Despesas com encargos|Inss|Inss S/ Folha De Pagamento|        -745.350,56|202403
Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Ferias|          -6.495,45|202403
Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Rescisao|                  0|202403
Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ Folha De Pagamento|        -233.835,47|202403
Despesas operacionais|Pessoal|Despesas com encargos|Fgts|Fgts S/ 13º Salario|         -19.486,29|202403
Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ Folha De Pagamento|         -29.229,50|202403
Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ 13º Salario|          -2.435,81|202403
Despesas operacionais|Pessoal|Despesas com encargos|Pis|Pis S/ Ferias|            -811,92|202403
Despesas operacionais|Serviços de terceiros|Honorários advocatícios|||        -538.183,00|202403
Despesas operacionais|Serviços de terceiros|Honorários de consultoria|||        -404.574,09|202403
Despesas operacionais|Serviços de terceiros|Honorários de auditoria|||                  0|202403
Despesas operacionais|Serviços de terceiros|Equipamentos|||        -224.438,46|202403
Despesas operacionais|Serviços de terceiros|Serviços de informática|||      -2.126.039,15|202403
Despesas operacionais|Serviços de terceiros|Outros serviços de terceiros|||        -175.947,56|202403
Despesas operacionais|Eventos|Patrocínio de eventos|||                  0|202403
Despesas operacionais|Eventos|Eventos|||        -961.083,10|202403
Despesas operacionais|Eventos|Outros eventos|||                  0|202403
Despesas operacionais|Localização|Condomínio|||        -154.218,82|202403
Despesas operacionais|Localização|Conservação, manutenção e reparos|||          -6.182,44|202403
Despesas operacionais|Localização|Energia elétrica|||         -48.028,63|202403
Despesas operacionais|Localização|Aluguel|||                  0|202403
Despesas operacionais|Localização|Depreciação e amortização|||        -280.574,72|202403
Despesas operacionais|Localização|Outras|||          -4.422,30|202403
Despesas operacionais|Localização|Serviços de limpeza|||         -32.799,58|202403
Despesas operacionais|Marketing|Anúncios e editais|||         -42.250,00|202403
Despesas operacionais|Marketing|Comunicação institucional|||                  0|202403
Despesas operacionais|Marketing|Propaganda e divulgação|||      -1.857.690,40|202403
Despesas operacionais|Representação institucional|Representação Social|||         -55.349,99|202403
Despesas operacionais|Representação institucional|Representação institucional|||                  0|202403
Despesas operacionais|Representação institucional|Viagens|||        -594.091,60|202403
Despesas operacionais|Representação institucional|Despesas De Viagens Em Congressos E Seminarios|||         -23.676,00|202403
Despesas operacionais|Representação institucional|Representação Em Congressos E Seminarios|||         -70.240,00|202403
Despesas operacionais|Doações e contribuições|Contribuicoes, mensalidades e anuidades |||          -2.420,73|202403
Despesas operacionais|Doações e contribuições|Anuidades a entidades de classe|||        -178.268,20|202403
Despesas operacionais|Doações e contribuições|Doacoes|||         -37.295,00|202403
Despesas operacionais|Outras despesas|Convênios|||        -344.877,00|202403
Despesas operacionais|Outras despesas|Comunicação|||         -45.586,91|202403
Despesas operacionais|Outras despesas|Material de expediente|||         -20.384,59|202403
Despesas operacionais|Outras despesas|Veículos|||         -14.963,77|202403
Despesas operacionais|Outras despesas|Crédito COFINS|||          29.156,68|202403
Despesas operacionais|Outras despesas|Diversos|Impostos e taxas||                  0|202403
Despesas operacionais|Outras despesas|Diversos|Acordos judiciais||                  0|202403
Despesas operacionais|Outras despesas|Diversos|Baixas e cobranças||                  0|202403
Despesas operacionais|Outras despesas|Diversos|Provisão para crédito de liquidação duvidosa||                  0|202403
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Livros, Jornais e Revistas|         -29.222,71|202403
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Uniformne|          -1.000,00|202403
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Outras desp administrativas|         -20.454,10|202403
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Despesas diversas de eventos|                  0|202403
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Bens de pequeno valor|          -1.753,88|202403
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Impressões / Material gráfico|          -8.334,00|202403
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Logística|            -586,67|202403
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Representação Social|                  0|202403
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Brindes|          -2.610,25|202403
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Maq., mov, equip. e utensílios|                  0|202403
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Refeição|          -3.700,00|202403
Despesas operacionais|Outras despesas|Diversos|Outras Desp. Administrativas|Assinaturas e M. Técnicos|                  0|202403
Resultado operacional|||||       4.356.232,98|202403
Resultado de equivalência patrimonial|||||                  0|202403
Resultado não operacional|||||                  0|202403
Receitas financeiras|||||       3.691.812,42|202403
Despesas financeiras|||||        -826.547,72|202403
Resultado financeiro|||||       2.865.264,70|202403
Superávit do exercício|||||       7.221.497,68|202403
Receita Bruta|||||      17.621.967,44|202404
Tributos|ISS||||        -878.598,36|202404
Tributos|COFINS||||      -1.339.269,53|202404
Receita operacional líquida|||||      15.404.099,55|202404
Custos dos serviços prestados|Consultas|Sistema Nacional de Gravames - SNG|||      -4.507.514,82|202404
Custos dos serviços prestados|Consultas|SISEG|||        -226.632,42|202404
