Vendedor;Produto;Estado;Mês;Cliente;Valor;Quantidade;Total
Caio;Rodas aro 20";RN;Dezembro;Pessoa Jurídica;2479;73;180967
Priscila;Rodas aro 21";PB;Agosto;Pessoa Física;3200;70;224000
Mirian;Rodas aro 22";AP;Dezembro;Pessoa Jurídica;3921;70;274470
Murilo;Rodas aro 13";BA;Abril;Pessoa Física;780;68;53040
Roberto;Rodas aro 14";BA;Setembro;Pessoa Física;980;64;62720
Myslaine;Rodas aro 15";PB;Agosto;Pessoa Física;1020;63;64260
Katia;Rodas aro 16";BA;Agosto;Pessoa Jurídica;1340;62;83080
Vanessa;Rodas aro 17";RS;Outubro;Pessoa Jurídica;1870;62;115940
Renata;Rodas aro 18";SC;Fevereiro;Pessoa Jurídica;1910;62;118420
Caio;Rodas aro 19";CE;Outubro;Pessoa Física;2240;60;134400
Priscila;Rodas aro 20";RN;Maio;Pessoa Jurídica;2479;59;146261
Mirian;Rodas aro 21";PE;Junho;Pessoa Física;3200;58;185600
Murilo;Rodas aro 22";SP;Janeiro;Pessoa Física;3921;57;223497
Roberto;Rodas aro 13";CE;Agosto;Pessoa Física;780;56;43680
Myslaine;Rodas aro 14";PI;Maio;Pessoa Jurídica;980;54;52920
Katia;Rodas aro 15";AM;Outubro;Pessoa Jurídica;1020;53;54060
Vanessa;Rodas aro 16";MG;Dezembro;Pessoa Jurídica;1340;53;71020
Renata;Rodas aro 17";GO;Fevereiro;Pessoa Física;1870;52;97240
Caio;Rodas aro 18";MG;Março;Pessoa Jurídica;1910;51;97410
Priscila;Rodas aro 19";RN;Novembro;Pessoa Física;2240;49;109760
Mirian;Rodas aro 20";ES;Julho;Pessoa Física;2479;49;121471
Murilo;Rodas aro 21";RS;Dezembro;Pessoa Física;3200;49;156800
Roberto;Rodas aro 22";SE;Outubro;Pessoa Jurídica;3921;48;188208
Myslaine;Rodas aro 13";MT;Dezembro;Pessoa Jurídica;780;47;36660
Katia;Rodas aro 14";RJ;Agosto;Pessoa Jurídica;980;47;46060
Vanessa;Rodas aro 15";SC;Maio;Pessoa Física;1020;45;45900
Renata;Rodas aro 16";RS;Janeiro;Pessoa Jurídica;1340;45;60300
Caio;Rodas aro 17";ES;Setembro;Pessoa Física;1870;44;82280
Priscila;Rodas aro 18";MT;Junho;Pessoa Física;1910;40;76400
Mirian;Rodas aro 19";BA;Novembro;Pessoa Física;2240;39;87360
Murilo;Rodas aro 20";ES;Outubro;Pessoa Jurídica;2479;38;94202
Roberto;Rodas aro 21";MT;Junho;Pessoa Jurídica;3200;38;121600
Myslaine;Rodas aro 22";PA;Abril;Pessoa Jurídica;3921;35;137235
Katia;Rodas aro 13";PB;Dezembro;Pessoa Física;780;35;27300
Vanessa;Rodas aro 14";MS;Abril;Pessoa Jurídica;980;31;30380
Renata;Rodas aro 15";PR;Junho;Pessoa Física;1020;28;28560
Caio;Rodas aro 16";RR;Dezembro;Pessoa Física;1340;26;34840
Priscila;Rodas aro 17";RN;Junho;Pessoa Física;1870;25;46750
Mirian;Rodas aro 18";BA;Agosto;Pessoa Jurídica;1910;25;47750
Murilo;Rodas aro 19";AP;Junho;Pessoa Jurídica;2240;25;56000
Roberto;Rodas aro 20";RR;Junho;Pessoa Jurídica;2479;24;59496
Myslaine;Rodas aro 21";RN;Fevereiro;Pessoa Física;3200;24;76800
Katia;Rodas aro 22";PE;Novembro;Pessoa Jurídica;3921;22;86262
Vanessa;Rodas aro 13";PE;Abril;Pessoa Física;780;20;15600
Renata;Rodas aro 14";TO;Setembro;Pessoa Física;980;20;19600
Caio;Rodas aro 15";MS;Novembro;Pessoa Física;1020;19;19380
Priscila;Rodas aro 16";MA;Janeiro;Pessoa Jurídica;1340;19;25460
Mirian;Rodas aro 17";MS;Maio;Pessoa Jurídica;1870;18;33660
Murilo;Rodas aro 18";PB;Maio;Pessoa Jurídica;1910;17;32470
Roberto;Rodas aro 19";RO;Novembro;Pessoa Física;2240;16;35840
Myslaine;Rodas aro 20";PB;Agosto;Pessoa Jurídica;2479;15;37185
Katia;Rodas aro 21";MA;Março;Pessoa Física;3200;14;44800
Vanessa;Rodas aro 22";PB;Abril;Pessoa Física;3921;9;35289
Renata;Rodas aro 13";PR;Janeiro;Pessoa Física;780;8;6240
Caio;Rodas aro 14";MA;Novembro;Pessoa Jurídica;980;6;5880
Priscila;Rodas aro 15";MG;Agosto;Pessoa Jurídica;1020;6;6120
Mirian;Rodas aro 16";SP;Setembro;Pessoa Jurídica;1340;5;6700
Murilo;Rodas aro 17";RO;Dezembro;Pessoa Física;1870;4;7480
Roberto;Rodas aro 18";SC;Março;Pessoa Jurídica;1910;3;5730
Myslaine;Rodas aro 19";ES;Outubro;Pessoa Física;2240;3;6720
Katia;Rodas aro 20";CE;Junho;Pessoa Física;2479;108;267732
Vanessa;Rodas aro 21";RN;Setembro;Pessoa Física;3200;108;345600
Renata;Rodas aro 22";SE;Julho;Pessoa Jurídica;3921;108;423468
Caio;Rodas aro 13";PA;Setembro;Pessoa Jurídica;780;106;82680
Priscila;Rodas aro 14";DF;Dezembro;Pessoa Jurídica;980;106;103880
Mirian;Rodas aro 15";GO;Julho;Pessoa Física;1020;105;107100
Murilo;Rodas aro 16";RR;Agosto;Pessoa Jurídica;1340;105;140700
Roberto;Rodas aro 17";TO;Novembro;Pessoa Física;1870;105;196350
Myslaine;Rodas aro 18";CE;Junho;Pessoa Física;1910;104;198640
Katia;Rodas aro 19";AL;Setembro;Pessoa Física;2240;104;232960
Vanessa;Rodas aro 20";MG;Abril;Pessoa Jurídica;2479;102;252858
Renata;Rodas aro 21";MG;Outubro;Pessoa Jurídica;3200;100;320000
Caio;Rodas aro 22";AP;Maio;Pessoa Jurídica;3921;97;380337
Priscila;Rodas aro 13";RS;Julho;Pessoa Física;780;96;74880
Mirian;Rodas aro 14";SC;Abril;Pessoa Jurídica;980;93;91140
Murilo;Rodas aro 15";RO;Junho;Pessoa Física;1020;90;91800
Roberto;Rodas aro 16";RS;Outubro;Pessoa Física;1340;90;120600
Myslaine;Rodas aro 17";RO;Abril;Pessoa Física;1870;90;168300
Katia;Rodas aro 18";SE;Janeiro;Pessoa Jurídica;1910;89;169990
Vanessa;Rodas aro 19";RR;Março;Pessoa Jurídica;2240;87;194880
Renata;Rodas aro 20";RR;Abril;Pessoa Jurídica;2479;86;213194
Caio;Rodas aro 21";MG;Novembro;Pessoa Física;3200;86;275200
Priscila;Rodas aro 22";PE;Fevereiro;Pessoa Jurídica;3921;85;333285
Mirian;Rodas aro 13";BA;Março;Pessoa Física;780;82;63960
Murilo;Rodas aro 14";AL;Julho;Pessoa Física;980;81;79380
Roberto;Rodas aro 15";MG;Agosto;Pessoa Física;1020;81;82620
Myslaine;Rodas aro 16";MT;Setembro;Pessoa Jurídica;1340;81;108540
Katia;Rodas aro 17";BA;Abril;Pessoa Jurídica;1870;76;142120
Vanessa;Rodas aro 18";PB;Setembro;Pessoa Jurídica;1910;74;141340
Renata;Rodas aro 19";PI;Fevereiro;Pessoa Física;2240;74;165760
Caio;Rodas aro 20";PE;Junho;Pessoa Jurídica;2479;73;180967
Priscila;Rodas aro 21";PE;Março;Pessoa Física;3200;71;227200
Mirian;Rodas aro 22";AP;Abril;Pessoa Física;3921;69;270549
Murilo;Rodas aro 13";AM;Julho;Pessoa Física;780;69;53820
Roberto;Rodas aro 14";PB;Março;Pessoa Jurídica;980;65;63700
Myslaine;Rodas aro 15";PB;Outubro;Pessoa Jurídica;1020;64;65280
Katia;Rodas aro 16";AP;Julho;Pessoa Jurídica;1340;63;84420
Vanessa;Rodas aro 17";PB;Maio;Pessoa Física;1870;63;117810
Renata;Rodas aro 18";MA;Setembro;Pessoa Jurídica;1910;60;114600
Caio;Rodas aro 19";SC;Novembro;Pessoa Física;2240;59;132160
Priscila;Rodas aro 20";RS;Abril;Pessoa Física;2479;58;143782
Mirian;Rodas aro 21";AP;Maio;Pessoa Física;3200;57;182400
Murilo;Rodas aro 22";MA;Maio;Pessoa Jurídica;3921;54;211734
Roberto;Rodas aro 13";AM;Dezembro;Pessoa Jurídica;780;50;39000
Myslaine;Rodas aro 14";AL;Março;Pessoa Jurídica;980;49;48020
Katia;Rodas aro 15";AC;Setembro;Pessoa Física;1020;47;47940
Vanessa;Rodas aro 16";MS;Março;Pessoa Jurídica;1340;43;57620
Renata;Rodas aro 17";PE;Maio;Pessoa Física;1870;42;78540
Caio;Rodas aro 18";RN;Julho;Pessoa Física;1910;41;78310
Priscila;Rodas aro 19";RS;Agosto;Pessoa Física;2240;40;89600
Mirian;Rodas aro 20";AL;Janeiro;Pessoa Jurídica;2479;39;96681
Murilo;Rodas aro 21";AL;Fevereiro;Pessoa Jurídica;3200;38;121600
Roberto;Rodas aro 22";RN;Junho;Pessoa Jurídica;3921;38;148998
Myslaine;Rodas aro 13";AC;Setembro;Pessoa Física;780;38;29640
Katia;Rodas aro 14";MS;Março;Pessoa Jurídica;980;37;36260
Vanessa;Rodas aro 15";RN;Abril;Pessoa Física;1020;35;35700
Renata;Rodas aro 16";GO;Outubro;Pessoa Física;1340;34;45560
Caio;Rodas aro 17";CE;Julho;Pessoa Física;1870;33;61710
Priscila;Rodas aro 18";RO;Julho;Pessoa Jurídica;1910;33;63030
Mirian;Rodas aro 19";RJ;Abril;Pessoa Jurídica;2240;31;69440
Murilo;Rodas aro 20";GO;Dezembro;Pessoa Jurídica;2479;28;69412
Roberto;Rodas aro 21";RS;Outubro;Pessoa Física;3200;27;86400
Myslaine;Rodas aro 22";MT;Maio;Pessoa Jurídica;3921;27;105867
Katia;Rodas aro 13";AL;Março;Pessoa Física;780;27;21060
Vanessa;Rodas aro 14";AC;Maio;Pessoa Física;980;23;22540
Renata;Rodas aro 15";AP;Setembro;Pessoa Física;1020;21;21420
Caio;Rodas aro 16";TO;Março;Pessoa Jurídica;1340;21;28140
Priscila;Rodas aro 17";AC;Março;Pessoa Jurídica;1870;19;35530
Mirian;Rodas aro 18";MA;Setembro;Pessoa Jurídica;1910;19;36290
Murilo;Rodas aro 19";TO;Junho;Pessoa Física;2240;17;38080
Roberto;Rodas aro 20";BA;Novembro;Pessoa Jurídica;2479;16;39664
Myslaine;Rodas aro 21";AP;Dezembro;Pessoa Física;3200;16;51200
Katia;Rodas aro 22";TO;Julho;Pessoa Física;3921;16;62736
Vanessa;Rodas aro 13";DF;Abril;Pessoa Física;780;15;11700
Renata;Rodas aro 14";PE;Junho;Pessoa Jurídica;980;15;14700
Caio;Rodas aro 15";AC;Maio;Pessoa Jurídica;1020;14;14280
Priscila;Rodas aro 16";PI;Setembro;Pessoa Jurídica;1340;14;18760
Mirian;Rodas aro 17";MG;Junho;Pessoa Física;1870;13;24310
Murilo;Rodas aro 18";PE;Novembro;Pessoa Jurídica;1910;12;22920
Roberto;Rodas aro 19";SC;Novembro;Pessoa Física;2240;12;26880
Myslaine;Rodas aro 20";PE;Março;Pessoa Física;2479;11;27269
Katia;Rodas aro 21";ES;Abril;Pessoa Física;3200;9;28800
Vanessa;Rodas aro 22";AC;Abril;Pessoa Jurídica;3921;7;27447
Renata;Rodas aro 13";SP;Agosto;Pessoa Jurídica;780;4;3120
Caio;Rodas aro 14";MA;Março;Pessoa Jurídica;980;1;980
Priscila;Rodas aro 15";CE;Fevereiro;Pessoa Física;1020;1;1020
Mirian;Rodas aro 16";MS;Maio;Pessoa Jurídica;1340;1;1340
Murilo;Rodas aro 17";PI;Agosto;Pessoa Física;1870;110;205700
Roberto;Rodas aro 18";AC;Setembro;Pessoa Física;1910;110;210100
Myslaine;Rodas aro 19";CE;Julho;Pessoa Física;2240;109;244160
Katia;Rodas aro 20";GO;Agosto;Pessoa Jurídica;2479;109;270211
Vanessa;Rodas aro 21";SE;Fevereiro;Pessoa Jurídica;3200;108;345600
Renata;Rodas aro 22";SC;Janeiro;Pessoa Jurídica;3921;105;411705
Caio;Rodas aro 13";AP;Janeiro;Pessoa Física;780;105;81900
Priscila;Rodas aro 14";RO;Julho;Pessoa Jurídica;980;104;101920
Mirian;Rodas aro 15";GO;Novembro;Pessoa Física;1020;104;106080
Murilo;Rodas aro 16";PB;Julho;Pessoa Física;1340;104;139360
Roberto;Rodas aro 17";RJ;Dezembro;Pessoa Física;1870;103;192610
Myslaine;Rodas aro 18";RR;Setembro;Pessoa Jurídica;1910;103;196730
Katia;Rodas aro 19";RJ;Abril;Pessoa Jurídica;2240;100;224000
Vanessa;Rodas aro 20";SP;Junho;Pessoa Jurídica;2479;99;245421
Renata;Rodas aro 21";SP;Outubro;Pessoa Física;3200;97;310400
Caio;Rodas aro 22";MA;Janeiro;Pessoa Jurídica;3921;97;380337
Priscila;Rodas aro 13";SC;Novembro;Pessoa Física;780;93;72540
Mirian;Rodas aro 14";TO;Abril;Pessoa Física;980;93;91140
Murilo;Rodas aro 15";MA;Janeiro;Pessoa Física;1020;89;90780
Roberto;Rodas aro 16";ES;Março;Pessoa Jurídica;1340;87;116580
Myslaine;Rodas aro 17";BA;Outubro;Pessoa Jurídica;1870;86;160820
Katia;Rodas aro 18";AM;Julho;Pessoa Jurídica;1910;86;164260
Vanessa;Rodas aro 19";AP;Janeiro;Pessoa Física;2240;85;190400
Renata;Rodas aro 20";RJ;Julho;Pessoa Jurídica;2479;84;208236
Caio;Rodas aro 21";MA;Março;Pessoa Física;3200;84;268800
Priscila;Rodas aro 22";MS;Novembro;Pessoa Física;3921;83;325443
Mirian;Rodas aro 13";ES;Dezembro;Pessoa Física;780;83;64740
Murilo;Rodas aro 14";MT;Fevereiro;Pessoa Jurídica;980;82;80360
Roberto;Rodas aro 15";AM;Fevereiro;Pessoa Jurídica;1020;82;83640
Myslaine;Rodas aro 16";AC;Dezembro;Pessoa Jurídica;1340;81;108540
Katia;Rodas aro 17";AM;Fevereiro;Pessoa Física;1870;80;149600
Vanessa;Rodas aro 18";GO;Novembro;Pessoa Jurídica;1910;76;145160
Renata;Rodas aro 19";MA;Novembro;Pessoa Física;2240;76;170240
Caio;Rodas aro 20";MA;Janeiro;Pessoa Física;2479;76;188404
Priscila;Rodas aro 21";AL;Abril;Pessoa Física;3200;75;240000
Mirian;Rodas aro 22";TO;Julho;Pessoa Jurídica;3921;72;282312
Murilo;Rodas aro 13";RJ;Janeiro;Pessoa Jurídica;780;69;53820
Roberto;Rodas aro 14";RS;Dezembro;Pessoa Jurídica;980;68;66640
Myslaine;Rodas aro 15";GO;Março;Pessoa Física;1020;68;69360
Katia;Rodas aro 16";RN;Setembro;Pessoa Jurídica;1340;66;88440
Vanessa;Rodas aro 17";MG;Junho;Pessoa Física;1870;65;121550
Renata;Rodas aro 18";PR;Fevereiro;Pessoa Física;1910;65;124150
Caio;Rodas aro 19";MS;Maio;Pessoa Física;2240;65;145600
Priscila;Rodas aro 20";AC;Junho;Pessoa Jurídica;2479;62;153698
Mirian;Rodas aro 21";MA;Maio;Pessoa Jurídica;3200;62;198400
Murilo;Rodas aro 22";AL;Janeiro;Pessoa Jurídica;3921;60;235260
Roberto;Rodas aro 13";TO;Janeiro;Pessoa Física;780;60;46800
Myslaine;Rodas aro 14";SP;Agosto;Pessoa Jurídica;980;58;56840
Katia;Rodas aro 15";RN;Agosto;Pessoa Física;1020;56;57120
Vanessa;Rodas aro 16";PI;Outubro;Pessoa Física;1340;56;75040
Renata;Rodas aro 17";AM;Janeiro;Pessoa Física;1870;55;102850
Caio;Rodas aro 18";BA;Abril;Pessoa Jurídica;1910;54;103140
Priscila;Rodas aro 19";ES;Novembro;Pessoa Jurídica;2240;53;118720
Mirian;Rodas aro 20";AL;Fevereiro;Pessoa Jurídica;2479;53;131387
Murilo;Rodas aro 21";RN;Agosto;Pessoa Física;3200;52;166400
Roberto;Rodas aro 22";MS;Outubro;Pessoa Jurídica;3921;52;203892
Myslaine;Rodas aro 13";TO;Julho;Pessoa Física;780;51;39780
Katia;Rodas aro 14";RS;Setembro;Pessoa Física;980;48;47040
Vanessa;Rodas aro 15";MS;Novembro;Pessoa Física;1020;48;48960
Renata;Rodas aro 16";MT;Novembro;Pessoa Jurídica;1340;45;60300
Caio;Rodas aro 17";BA;Maio;Pessoa Jurídica;1870;45;84150
Priscila;Rodas aro 18";SC;Março;Pessoa Jurídica;1910;44;84040
Mirian;Rodas aro 19";RO;Março;Pessoa Física;2240;42;94080
Murilo;Rodas aro 20";SC;Setembro;Pessoa Jurídica;2479;41;101639
Roberto;Rodas aro 21";RR;Dezembro;Pessoa Física;3200;40;128000
Myslaine;Rodas aro 22";MS;Fevereiro;Pessoa Física;3921;38;148998
Katia;Rodas aro 13";AP;Dezembro;Pessoa Física;780;35;27300
Vanessa;Rodas aro 14";SC;Abril;Pessoa Jurídica;980;32;31360
Renata;Rodas aro 15";RS;Fevereiro;Pessoa Jurídica;1020;31;31620
Caio;Rodas aro 16";PI;Janeiro;Pessoa Jurídica;1340;27;36180
Priscila;Rodas aro 17";MG;Setembro;Pessoa Física;1870;25;46750
Mirian;Rodas aro 18";ES;Junho;Pessoa Jurídica;1910;22;42020
Murilo;Rodas aro 19";MS;Janeiro;Pessoa Física;2240;21;47040
Roberto;Rodas aro 20";GO;Janeiro;Pessoa Física;2479;20;49580
Myslaine;Rodas aro 21";PA;Outubro;Pessoa Física;3200;17;54400
Katia;Rodas aro 22";MS;Maio;Pessoa Jurídica;3921;12;47052
Vanessa;Rodas aro 13";RO;Janeiro;Pessoa Jurídica;780;12;9360
Renata;Rodas aro 14";RS;Maio;Pessoa Jurídica;980;11;10780
Caio;Rodas aro 15";RR;Junho;Pessoa Física;1020;11;11220
Priscila;Rodas aro 16";CE;Dezembro;Pessoa Jurídica;1340;10;13400
Mirian;Rodas aro 17";AL;Maio;Pessoa Física;1870;7;13090
Murilo;Rodas aro 18";TO;Dezembro;Pessoa Física;1910;5;9550
Roberto;Rodas aro 19";SE;Outubro;Pessoa Física;2240;3;6720
Myslaine;Rodas aro 20";MG;Maio;Pessoa Jurídica;2479;2;4958
Katia;Rodas aro 21";RN;Julho;Pessoa Jurídica;3200;1;3200
Vanessa;Rodas aro 22";RJ;Maio;Pessoa Jurídica;3921;110;431310
Renata;Rodas aro 13";MT;Agosto;Pessoa Física;780;110;85800
Caio;Rodas aro 14";SP;Junho;Pessoa Jurídica;980;110;107800
Priscila;Rodas aro 15";BA;Agosto;Pessoa Física;1020;109;111180
Mirian;Rodas aro 16";AC;Janeiro;Pessoa Física;1340;105;140700
Murilo;Rodas aro 17";PB;Junho;Pessoa Física;1870;104;194480
Roberto;Rodas aro 18";ES;Outubro;Pessoa Jurídica;1910;104;198640
Myslaine;Rodas aro 19";MG;Agosto;Pessoa Jurídica;2240;103;230720
Katia;Rodas aro 20";PR;Janeiro;Pessoa Jurídica;2479;103;255337
Vanessa;Rodas aro 21";DF;Setembro;Pessoa Física;3200;101;323200
Renata;Rodas aro 22";AC;Outubro;Pessoa Jurídica;3921;100;392100
Caio;Rodas aro 13";SE;Novembro;Pessoa Física;780;99;77220
Priscila;Rodas aro 14";MT;Junho;Pessoa Física;980;94;92120
Mirian;Rodas aro 15";AC;Fevereiro;Pessoa Física;1020;92;93840
Murilo;Rodas aro 16";PR;Junho;Pessoa Jurídica;1340;90;120600
Roberto;Rodas aro 17";RR;Dezembro;Pessoa Jurídica;1870;87;162690
Myslaine;Rodas aro 18";RS;Junho;Pessoa Jurídica;1910;87;166170
Katia;Rodas aro 19";PA;Janeiro;Pessoa Física;2240;87;194880
Vanessa;Rodas aro 20";AP;Outubro;Pessoa Jurídica;2479;87;215673
Renata;Rodas aro 21";MG;Março;Pessoa Física;3200;86;275200
Caio;Rodas aro 22";BA;Agosto;Pessoa Física;3921;86;337206
Priscila;Rodas aro 13";RO;Julho;Pessoa Física;780;85;66300
Mirian;Rodas aro 14";CE;Maio;Pessoa Jurídica;980;81;79380
Murilo;Rodas aro 15";MT;Janeiro;Pessoa Jurídica;1020;78;79560
Roberto;Rodas aro 16";MG;Março;Pessoa Jurídica;1340;77;103180
Myslaine;Rodas aro 17";SP;Janeiro;Pessoa Física;1870;73;136510
Katia;Rodas aro 18";MG;Outubro;Pessoa Jurídica;1910;71;135610
Vanessa;Rodas aro 19";AM;Novembro;Pessoa Física;2240;70;156800
Renata;Rodas aro 20";PA;Dezembro;Pessoa Física;2479;69;171051
Caio;Rodas aro 21";GO;Agosto;Pessoa Física;3200;68;217600
Priscila;Rodas aro 22";PA;Abril;Pessoa Jurídica;3921;68;266628
Mirian;Rodas aro 13";RR;Dezembro;Pessoa Jurídica;780;67;52260
Murilo;Rodas aro 14";SC;Março;Pessoa Jurídica;980;66;64680
Roberto;Rodas aro 15";AM;Abril;Pessoa Física;1020;66;67320
Myslaine;Rodas aro 16";SC;Abril;Pessoa Jurídica;1340;65;87100
Katia;Rodas aro 17";RJ;Março;Pessoa Física;1870;64;119680
Vanessa;Rodas aro 18";MG;Dezembro;Pessoa Física;1910;63;120330
Renata;Rodas aro 19";ES;Julho;Pessoa Física;2240;61;136640
Caio;Rodas aro 20";PR;Novembro;Pessoa Jurídica;2479;60;148740
Priscila;Rodas aro 21";RJ;Março;Pessoa Jurídica;3200;57;182400
Mirian;Rodas aro 22";AM;Abril;Pessoa Jurídica;3921;56;219576
Murilo;Rodas aro 13";ES;Setembro;Pessoa Física;780;55;42900
Roberto;Rodas aro 14";GO;Abril;Pessoa Jurídica;980;53;51940
Myslaine;Rodas aro 15";MS;Abril;Pessoa Física;1020;52;53040
Katia;Rodas aro 16";PI;Maio;Pessoa Física;1340;51;68340
Vanessa;Rodas aro 17";CE;Novembro;Pessoa Física;1870;50;93500
Renata;Rodas aro 18";RN;Maio;Pessoa Jurídica;1910;47;89770
Caio;Rodas aro 19";SE;Abril;Pessoa Jurídica;2240;46;103040
Priscila;Rodas aro 20";MT;Agosto;Pessoa Jurídica;2479;45;111555
Mirian;Rodas aro 21";RR;Setembro;Pessoa Física;3200;45;144000
Murilo;Rodas aro 22";PA;Setembro;Pessoa Jurídica;3921;44;172524
Roberto;Rodas aro 13";AP;Março;Pessoa Física;780;43;33540
Myslaine;Rodas aro 14";AP;Dezembro;Pessoa Física;980;43;42140
Katia;Rodas aro 15";AM;Março;Pessoa Física;1020;41;41820
Vanessa;Rodas aro 16";PB;Agosto;Pessoa Jurídica;1340;40;53600
Renata;Rodas aro 17";MG;Setembro;Pessoa Jurídica;1870;40;74800
Caio;Rodas aro 18";PR;Março;Pessoa Jurídica;1910;39;74490
Priscila;Rodas aro 19";PA;Outubro;Pessoa Física;2240;38;85120
Mirian;Rodas aro 20";TO;Dezembro;Pessoa Jurídica;2479;37;91723
Murilo;Rodas aro 21";AL;Junho;Pessoa Física;3200;36;115200
Roberto;Rodas aro 22";RJ;Novembro;Pessoa Física;3921;36;141156
Myslaine;Rodas aro 13";CE;Maio;Pessoa Física;780;35;27300
Katia;Rodas aro 14";CE;Maio;Pessoa Jurídica;980;33;32340
Vanessa;Rodas aro 15";PA;Janeiro;Pessoa Jurídica;1020;33;33660
Renata;Rodas aro 16";MT;Novembro;Pessoa Jurídica;1340;32;42880
Caio;Rodas aro 17";ES;Agosto;Pessoa Física;1870;31;57970
Priscila;Rodas aro 18";PI;Dezembro;Pessoa Jurídica;1910;29;55390
Mirian;Rodas aro 19";SP;Fevereiro;Pessoa Física;2240;29;64960
Murilo;Rodas aro 20";PA;Março;Pessoa Física;2479;28;69412
Roberto;Rodas aro 21";RS;Abril;Pessoa Física;3200;28;89600
Myslaine;Rodas aro 22";AL;Novembro;Pessoa Jurídica;3921;27;105867
Katia;Rodas aro 13";CE;Janeiro;Pessoa Jurídica;780;26;20280
Vanessa;Rodas aro 14";PA;Maio;Pessoa Jurídica;980;26;25480
Renata;Rodas aro 15";BA;Maio;Pessoa Física;1020;23;23460
Caio;Rodas aro 16";PB;Novembro;Pessoa Jurídica;1340;21;28140
Priscila;Rodas aro 17";AM;Novembro;Pessoa Física;1870;21;39270
Mirian;Rodas aro 18";MT;Abril;Pessoa Física;1910;16;30560
Murilo;Rodas aro 19";AC;Março;Pessoa Física;2240;15;33600
Roberto;Rodas aro 20";RS;Janeiro;Pessoa Jurídica;2479;15;37185
Myslaine;Rodas aro 21";AL;Março;Pessoa Jurídica;3200;14;44800
Katia;Rodas aro 22";MG;Agosto;Pessoa Jurídica;3921;14;54894
Vanessa;Rodas aro 13";RJ;Agosto;Pessoa Física;780;14;10920
Renata;Rodas aro 14";AM;Setembro;Pessoa Jurídica;980;13;12740
Caio;Rodas aro 15";BA;Março;Pessoa Física;1020;10;10200
Priscila;Rodas aro 16";PE;Março;Pessoa Física;1340;10;13400
Mirian;Rodas aro 17";DF;Julho;Pessoa Física;1870;9;16830
Murilo;Rodas aro 18";PR;Março;Pessoa Jurídica;1910;8;15280
Roberto;Rodas aro 19";BA;Abril;Pessoa Jurídica;2240;6;13440
Myslaine;Rodas aro 20";PE;Julho;Pessoa Jurídica;2479;4;9916
Katia;Rodas aro 21";PR;Janeiro;Pessoa Física;3200;110;352000
Vanessa;Rodas aro 22";SC;Setembro;Pessoa Jurídica;3921;110;431310
Renata;Rodas aro 13";ES;Fevereiro;Pessoa Física;780;109;85020
Caio;Rodas aro 14";RN;Abril;Pessoa Física;980;108;105840
Priscila;Rodas aro 15";ES;Agosto;Pessoa Física;1020;107;109140
Mirian;Rodas aro 16";AM;Novembro;Pessoa Jurídica;1340;106;142040
Murilo;Rodas aro 17";AL;Agosto;Pessoa Jurídica;1870;104;194480
Roberto;Rodas aro 18";ES;Junho;Pessoa Jurídica;1910;103;196730
Myslaine;Rodas aro 19";ES;Abril;Pessoa Física;2240;101;226240
