TITULO|CODIGOCLIENTE|CLIENTE|UF_CLIENTE|STATUSDOTITULO|EMPRESAEMITENTE|FILIAL|EMPRESARECEBEDORA|PEDIDOFATURAMENTO|TIPODETITULO|TIPODECOBRANCA|CONTADOFLUXODECAIXA|EMISSAO|VENCIMENTO|COMPETENCIA|CONTADEPAGAMENTO|NOMEBANCOPAGAMENTO|DOCUMENTOFISCAL|DOCUMENTODEPAGAMENTO|PAGAMENTO|DATA_FLXCX|COD_CADU|VALOR_EMITIDO_UF|QTD|UF
260295|43510524000135|RT CAR COMERCIO DE VEICULOS LTDA|SC|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|271422|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/10/2024|22/11/2024|31/10/2024|237.01.COB|BANCO BRADESCO S.A.|425602|155460|03/01/2025|03/01/2025|18500|35,63|1|SC
261405|43510524000135|RT CAR COMERCIO DE VEICULOS LTDA|SC|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|272869|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/11/2024|20/12/2024|30/11/2024|237.01.COB|BANCO BRADESCO S.A.|426665|155460|03/01/2025|03/01/2025|18500|142,52|4|SC
261194|11569686000152|COLOMBO MOTOS SA|RS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|272658|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/11/2024|20/12/2024|30/11/2024|237.01.COB|BANCO BRADESCO S.A.|426452|155526|06/01/2025|07/01/2025|10217|4.560,64|128|PR
261194|11569686000152|COLOMBO MOTOS SA|RS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|272658|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/11/2024|20/12/2024|30/11/2024|237.01.COB|BANCO BRADESCO S.A.|426452|155526|06/01/2025|07/01/2025|10217|463,19|13|RJ
261194|11569686000152|COLOMBO MOTOS SA|RS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|272658|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/11/2024|20/12/2024|30/11/2024|237.01.COB|BANCO BRADESCO S.A.|426452|155526|06/01/2025|07/01/2025|10217|320,67|9|SC
260854|3061808000177|PLANETA MOTOS LTDA|GO|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|272318|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/11/2024|20/12/2024|30/11/2024|237.01.COB|BANCO BRADESCO S.A.|426114|155592|07/01/2025|08/01/2025|3684|35,63|1|GO
261338|11286797000151|SHIFT CAR VEICULOS EIRELI|PR|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|272802|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/11/2024|20/12/2024|30/11/2024|237.01.COB|BANCO BRADESCO S.A.|426598|155592|07/01/2025|08/01/2025|14891|106,89|3|PR
262464|92002609000118|REDE OESTE ADMINISTRADORA DE CONSORCIOS|PR|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273838|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427534|155615|08/01/2025|09/01/2025|6067|1.247,05|35|PR
262856|51541632000101|FINANCE EMPRESA SIMPLES DE CREDITO LTDA|AM|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|274230|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427926|155615|08/01/2025|09/01/2025|18822|35,63|1|AM
260738|26408161000102|COOP DE CRED POUP E INV DO CENTRO SUL DO|MS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|272202|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/11/2024|20/12/2024|30/11/2024|237.01.COB|BANCO BRADESCO S.A.|425998|155662|09/01/2025|10/01/2025|1725|2.583,89|74|BA
260738|26408161000102|COOP DE CRED POUP E INV DO CENTRO SUL DO|MS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|272202|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/11/2024|20/12/2024|30/11/2024|237.01.COB|BANCO BRADESCO S.A.|425998|155662|09/01/2025|10/01/2025|1725|9.113,44|261|MS
260738|26408161000102|COOP DE CRED POUP E INV DO CENTRO SUL DO|MS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|272202|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/11/2024|20/12/2024|30/11/2024|237.01.COB|BANCO BRADESCO S.A.|425998|155662|09/01/2025|10/01/2025|1725|69,83|2|PR
261122|4836002000176|LEASEPLAN ARRENDAMENTO MERCANTIL SA|SP|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|272586|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/11/2024|20/12/2024|30/11/2024|237.01.COB|BANCO BRADESCO S.A.|426380|155662|09/01/2025|10/01/2025|8360|35,63|1|PA
261265|9403026000155|COOP CRED RURAL REGIAO S MARANHAO SICOOB|MA|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|272729|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|30/11/2024|20/12/2024|30/11/2024|237.01.COB|BANCO BRADESCO S.A.|426525|155662|09/01/2025|10/01/2025|12469|1.326,86|38|MA
262191|24654881000122|C.E.C.M. DOS SERVIDORES PUBLICOS FEDERAI|MS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273565|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427261|155662|09/01/2025|10/01/2025|1931|453,93|13|BA
262191|24654881000122|C.E.C.M. DOS SERVIDORES PUBLICOS FEDERAI|MS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273565|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427261|155662|09/01/2025|10/01/2025|1931|69,83|2|GO
262191|24654881000122|C.E.C.M. DOS SERVIDORES PUBLICOS FEDERAI|MS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273565|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427261|155662|09/01/2025|10/01/2025|1931|34,92|1|MA
262191|24654881000122|C.E.C.M. DOS SERVIDORES PUBLICOS FEDERAI|MS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273565|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427261|155662|09/01/2025|10/01/2025|1931|1.222,11|35|MS
262191|24654881000122|C.E.C.M. DOS SERVIDORES PUBLICOS FEDERAI|MS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273565|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427261|155662|09/01/2025|10/01/2025|1931|34,92|1|PA
262191|24654881000122|C.E.C.M. DOS SERVIDORES PUBLICOS FEDERAI|MS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273565|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427261|155662|09/01/2025|10/01/2025|1931|34,92|1|PI
262191|24654881000122|C.E.C.M. DOS SERVIDORES PUBLICOS FEDERAI|MS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273565|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427261|155662|09/01/2025|10/01/2025|1931|1.117,36|32|TO
262228|4090529000102|F C MOTOS LTDA|MA|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273602|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427298|155662|09/01/2025|10/01/2025|2554|106,89|3|MA
262257|3358914000117|COOPERATIVA DE CREDITO CREDIROCHAS SICOO|ES|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273631|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427327|155662|09/01/2025|10/01/2025|3044|1.012,60|29|ES
262257|3358914000117|COOPERATIVA DE CREDITO CREDIROCHAS SICOO|ES|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273631|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427327|155662|09/01/2025|10/01/2025|3044|1.431,61|41|RJ
262258|32474884000102|COOP DE CRED SUL LITORANEA DO ESPIRITO S|ES|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273632|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427328|155662|09/01/2025|10/01/2025|3045|2.129,96|61|ES
262258|32474884000102|COOP DE CRED SUL LITORANEA DO ESPIRITO S|ES|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273632|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427328|155662|09/01/2025|10/01/2025|3045|69,83|2|RJ
262259|31804966000105|COOP DE CRED CENTROSERRANA DO ESPIRITO S|ES|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273633|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427329|155662|09/01/2025|10/01/2025|3046|419,01|12|BA
262259|31804966000105|COOP DE CRED CENTROSERRANA DO ESPIRITO S|ES|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273633|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427329|155662|09/01/2025|10/01/2025|3046|4.853,52|139|ES
262260|815319000175|COOPERATIVA DE CREDITO SULSERRANA DO ESP|ES|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273634|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427330|155662|09/01/2025|10/01/2025|3048|9.183,28|263|ES
262304|15895055000184|VEMAQ VEICULOS E MAQUINAS LTDA|RO|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273678|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427374|155662|09/01/2025|10/01/2025|3872|71,26|2|RO
262318|32430233000110|COOPERATIVA DE CREDITO CONEXAO SICOOB CO|ES|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273692|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427388|155662|09/01/2025|10/01/2025|4092|942,77|27|BA
262318|32430233000110|COOPERATIVA DE CREDITO CONEXAO SICOOB CO|ES|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273692|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427388|155662|09/01/2025|10/01/2025|4092|34,92|1|DF
262318|32430233000110|COOPERATIVA DE CREDITO CONEXAO SICOOB CO|ES|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273692|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427388|155662|09/01/2025|10/01/2025|4092|14.874,81|426|ES
262319|32467086000153|COOPERATIVA DE CREDITO SUL DO ESPIRITO S|ES|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273693|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427389|155662|09/01/2025|10/01/2025|4093|2.898,14|83|ES
262319|32467086000153|COOPERATIVA DE CREDITO SUL DO ESPIRITO S|ES|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273693|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427389|155662|09/01/2025|10/01/2025|4093|2.583,89|74|RJ
262468|33350620000100|FED NAC ASS SERVID BCO CENTRAL FENASBAC|DF|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273842|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427538|155662|09/01/2025|10/01/2025|6110|71,26|2|DF
262493|7808907000120|ADMINISTRADORA DE CONSORCIOS SICREDI LTD|RS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273867|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427563|155662|09/01/2025|10/01/2025|6907|285,04|8|AC
262493|7808907000120|ADMINISTRADORA DE CONSORCIOS SICREDI LTD|RS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273867|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427563|155662|09/01/2025|10/01/2025|6907|391,93|11|AL
262493|7808907000120|ADMINISTRADORA DE CONSORCIOS SICREDI LTD|RS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273867|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427563|155662|09/01/2025|10/01/2025|6907|142,52|4|AM
262493|7808907000120|ADMINISTRADORA DE CONSORCIOS SICREDI LTD|RS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273867|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427563|155662|09/01/2025|10/01/2025|6907|35,63|1|AP
262493|7808907000120|ADMINISTRADORA DE CONSORCIOS SICREDI LTD|RS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273867|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427563|155662|09/01/2025|10/01/2025|6907|1.852,76|52|BA
262493|7808907000120|ADMINISTRADORA DE CONSORCIOS SICREDI LTD|RS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273867|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427563|155662|09/01/2025|10/01/2025|6907|748,23|21|DF
262493|7808907000120|ADMINISTRADORA DE CONSORCIOS SICREDI LTD|RS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273867|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427563|155662|09/01/2025|10/01/2025|6907|1.603,35|45|ES
262493|7808907000120|ADMINISTRADORA DE CONSORCIOS SICREDI LTD|RS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273867|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427563|155662|09/01/2025|10/01/2025|6907|4.738,79|133|GO
262493|7808907000120|ADMINISTRADORA DE CONSORCIOS SICREDI LTD|RS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273867|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427563|155662|09/01/2025|10/01/2025|6907|35,63|1|MA
262493|7808907000120|ADMINISTRADORA DE CONSORCIOS SICREDI LTD|RS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273867|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427563|155662|09/01/2025|10/01/2025|6907|5.772,06|162|MS
262493|7808907000120|ADMINISTRADORA DE CONSORCIOS SICREDI LTD|RS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273867|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427563|155662|09/01/2025|10/01/2025|6907|10.118,92|284|MT
262493|7808907000120|ADMINISTRADORA DE CONSORCIOS SICREDI LTD|RS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273867|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427563|155662|09/01/2025|10/01/2025|6907|3.313,59|93|PA
262493|7808907000120|ADMINISTRADORA DE CONSORCIOS SICREDI LTD|RS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273867|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427563|155662|09/01/2025|10/01/2025|6907|1.460,83|41|PB
262493|7808907000120|ADMINISTRADORA DE CONSORCIOS SICREDI LTD|RS|Pago|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|FENASEG MATRIZ|FED NAC EMP SEG  PRIV CAPIT E PREV COMP|273867|01 - NF de Serviço|06 - BOLETO GRAVAMES|30101|31/12/2024|22/01/2025|31/12/2024|237.01.COB|BANCO BRADESCO S.A.|427563|155662|09/01/2025|10/01/2025|6907|676,97|19|PE
