Identificação;Data;Entrada Manhã;Saída Almoço;Entrada Tarde;Saída Expediente
1003;02/07/2019;08:46:55;12:07:26;13:49:09;17:19:15
1004;02/07/2019;08:44:42;12:04:51;13:11:00;17:15:45
1005;02/07/2019;08:31:41;12:03:14;13:52:00;17:30:06
1006;02/07/2019;08:43:05;12:29:16;13:12:25;17:10:16
1007;02/07/2019;08:23:01;12:12:00;13:56:12;17:21:10
1008;02/07/2019;08:18:20;12:53:39;13:12:27;17:54:08
1009;02/07/2019;08:02:38;12:57:15;13:08:50;17:06:26
1010;02/07/2019;08:06:19;12:17:43;13:53:25;17:09:53
1011;02/07/2019;08:14:36;12:06:25;13:40:10;17:52:37
1012;02/07/2019;08:34:46;12:06:42;13:14:54;17:51:41
1013;02/07/2019;08:36:22;12:25:43;13:43:40;17:08:09
1014;02/07/2019;08:23:51;12:42:11;13:26:13;17:05:50
1015;02/07/2019;08:35:18;12:59:05;13:54:59;17:46:56
1016;02/07/2019;08:39:11;12:21:25;13:16:26;17:45:54
1017;02/07/2019;08:51:07;12:41:33;13:59:11;17:46:52
1018;02/07/2019;08:29:37;12:48:55;13:58:53;17:54:40
1019;02/07/2019;08:15:45;12:21:24;13:33:16;17:45:01
1020;02/07/2019;08:37:52;12:56:11;13:08:23;17:31:11
1021;02/07/2019;08:47:12;12:00:46;13:10:09;17:04:15
1022;02/07/2019;08:35:30;12:39:12;13:36:24;17:34:20
1023;02/07/2019;08:23:06;12:44:06;13:10:03;17:15:15
1024;02/07/2019;08:32:15;12:08:20;13:46:59;17:22:56
1025;02/07/2019;08:31:47;12:01:50;13:31:30;17:52:15
1026;02/07/2019;08:48:25;12:10:21;13:55:42;17:03:58
1027;02/07/2019;08:01:26;12:35:10;13:05:01;17:01:43
1028;02/07/2019;08:16:12;12:41:04;13:58:27;17:02:35
1029;02/07/2019;08:08:40;12:21:01;13:06:05;17:11:14
1030;02/07/2019;08:11:39;12:24:54;13:00:46;17:42:45
1031;02/07/2019;08:56:44;12:04:22;13:30:10;17:09:33
1032;02/07/2019;08:41:10;12:35:07;13:25:24;17:53:10
1033;02/07/2019;08:45:46;12:34:44;13:20:57;17:17:53
1034;02/07/2019;08:46:39;12:11:55;13:07:59;17:17:32
1035;02/07/2019;08:55:52;12:50:58;13:08:18;17:35:28
1036;02/07/2019;08:07:57;12:35:32;13:48:25;17:55:20
1037;02/07/2019;08:47:51;12:43:03;13:02:37;17:36:26
1038;02/07/2019;08:31:51;12:29:09;13:55:37;17:59:50
1039;02/07/2019;08:59:52;12:01:59;13:44:59;17:06:30
1040;02/07/2019;08:40:46;12:01:03;13:57:22;17:30:29
1041;02/07/2019;08:02:44;12:08:42;13:03:43;17:02:57
1042;02/07/2019;08:07:17;12:01:39;13:49:36;17:57:16
1043;02/07/2019;08:12:14;12:08:06;13:54:23;17:25:29
1044;02/07/2019;08:18:03;12:54:56;13:26:15;17:23:56
1045;02/07/2019;08:32:28;12:53:05;13:16:23;17:21:27
1046;02/07/2019;08:21:14;12:25:24;13:34:30;17:02:12
1047;02/07/2019;08:47:23;12:23:30;13:21:14;17:46:13
1048;02/07/2019;08:24:13;12:33:59;13:14:09;17:11:33
1049;02/07/2019;08:32:53;12:11:45;13:37:52;17:11:07
1050;02/07/2019;08:41:45;12:57:44;13:48:10;17:45:17
1051;02/07/2019;08:08:44;12:54:14;13:42:39;17:53:57
1052;02/07/2019;08:41:22;12:52:46;13:22:47;17:53:23
1053;02/07/2019;08:33:49;12:07:35;13:10:56;17:12:34
1054;02/07/2019;08:53:39;12:22:35;13:29:07;17:04:38
1055;02/07/2019;08:47:16;12:36:25;13:51:00;17:59:48
1056;02/07/2019;08:29:58;12:31:50;13:08:31;17:57:47
1057;02/07/2019;08:26:19;12:10:32;13:09:18;17:27:03
1058;02/07/2019;08:50:35;12:19:58;13:16:03;17:34:33
1059;02/07/2019;08:44:43;12:33:27;13:21:36;17:56:47
1060;02/07/2019;08:05:43;12:23:46;13:09:46;17:50:50
1061;02/07/2019;08:16:53;12:11:43;13:38:05;17:24:56
1062;02/07/2019;08:25:33;12:41:10;13:38:16;17:51:48
1063;02/07/2019;08:05:37;12:44:37;13:09:39;17:51:36
1064;02/07/2019;08:24:11;12:40:31;13:45:19;17:23:49
1065;02/07/2019;08:36:03;12:07:33;13:31:26;17:01:19
1066;02/07/2019;08:07:34;12:10:08;13:20:07;17:25:38
1067;02/07/2019;08:34:07;12:31:45;13:53:43;17:51:26
1068;02/07/2019;08:05:42;12:02:08;13:27:55;17:18:10
1069;02/07/2019;08:21:45;12:47:55;13:42:31;17:41:14
1070;02/07/2019;08:33:20;12:42:14;13:10:23;17:49:05
1071;02/07/2019;08:13:24;12:46:12;13:37:17;17:57:06
1072;02/07/2019;08:42:01;12:41:36;13:46:00;17:57:40
1073;02/07/2019;08:45:51;12:52:37;13:12:32;17:28:50
1074;02/07/2019;08:48:30;12:46:02;13:29:44;17:41:17
1075;02/07/2019;08:55:28;12:47:49;13:46:50;17:30:08
1076;02/07/2019;08:01:20;12:08:40;13:15:03;17:51:45
1077;02/07/2019;08:12:30;12:14:41;13:50:29;17:26:05
1078;02/07/2019;08:13:40;12:04:35;13:26:58;17:51:55
1079;02/07/2019;08:59:23;12:18:42;13:21:03;17:18:30
1080;02/07/2019;08:18:56;12:35:51;13:45:34;17:02:46
1081;02/07/2019;08:22:35;12:32:15;13:18:40;17:06:52
1082;02/07/2019;08:47:50;12:02:08;13:40:16;17:10:22
1083;02/07/2019;08:58:59;12:59:16;13:44:11;17:10:45
1084;02/07/2019;08:59:36;12:23:14;13:27:21;17:08:25
1085;02/07/2019;08:36:49;12:19:56;13:41:20;17:34:47
1086;02/07/2019;08:52:21;12:48:58;13:54:33;17:28:06
1087;02/07/2019;08:19:29;12:47:00;13:08:53;17:32:30
1088;02/07/2019;08:44:19;12:52:27;13:57:37;17:54:28
1089;02/07/2019;08:02:24;12:58:35;13:50:48;17:13:00
1090;02/07/2019;08:04:19;12:23:39;13:02:30;17:35:35
1091;02/07/2019;08:31:27;12:31:29;13:05:18;17:36:51
1092;02/07/2019;08:38:47;12:30:45;13:45:58;17:00:14
1093;02/07/2019;08:57:33;12:03:39;13:00:31;17:27:53
1094;02/07/2019;08:23:01;12:21:46;13:19:55;17:18:36
1095;02/07/2019;08:21:31;12:31:22;13:03:37;17:11:24
1096;02/07/2019;08:23:29;12:18:32;13:17:19;17:37:28
1097;02/07/2019;08:59:44;12:29:02;13:18:00;17:38:07
1098;02/07/2019;08:46:07;12:30:50;13:25:36;17:42:25
1099;02/07/2019;08:24:19;12:03:57;13:38:23;17:12:26
1000;03/07/2019;08:25:18;12:31:50;13:52:46;17:13:59
1001;03/07/2019;08:23:43;12:56:08;13:34:50;17:16:45
1002;03/07/2019;08:38:08;12:15:57;13:38:04;17:42:45
1003;03/07/2019;08:47:06;12:32:26;13:14:00;17:30:09
1004;03/07/2019;08:35:33;12:32:25;13:26:38;17:45:10
1005;03/07/2019;08:22:55;12:50:23;13:30:04;17:17:37
1006;03/07/2019;08:41:56;12:57:39;13:41:47;17:24:25
1007;03/07/2019;08:19:22;12:26:52;13:58:46;17:07:35
1008;03/07/2019;08:39:03;12:10:58;13:55:32;17:32:14
1009;03/07/2019;08:25:07;12:11:32;13:25:23;17:12:01
1010;03/07/2019;08:28:31;12:10:55;13:49:44;17:19:49
1011;03/07/2019;08:50:55;12:36:27;13:58:04;17:20:45
1012;03/07/2019;08:44:38;12:05:33;13:39:24;17:23:57
1013;03/07/2019;08:23:32;12:59:19;13:02:52;17:39:06
1014;03/07/2019;08:16:21;12:35:19;13:09:18;17:27:49
1015;03/07/2019;08:38:47;12:14:52;13:42:27;17:18:01
1016;03/07/2019;08:08:52;12:28:13;13:32:40;17:15:41
1017;03/07/2019;08:04:37;12:13:47;13:59:04;17:11:39
1018;03/07/2019;08:45:08;12:45:48;13:52:19;17:59:32
1019;03/07/2019;08:48:53;12:30:04;13:21:56;17:39:28
1020;03/07/2019;08:29:47;12:52:59;13:29:46;17:39:15
1021;03/07/2019;08:31:17;12:50:45;13:52:28;17:36:58
1022;03/07/2019;08:11:53;12:48:21;13:05:42;17:56:47
1023;03/07/2019;08:31:04;12:16:16;13:01:35;17:18:58
1024;03/07/2019;08:03:32;12:38:46;13:41:41;17:08:27
1025;03/07/2019;08:25:59;12:58:31;13:51:50;17:08:38
1026;03/07/2019;08:43:35;12:47:53;13:38:54;17:15:00
1027;03/07/2019;08:08:34;12:56:38;13:23:56;17:18:46
1028;03/07/2019;08:12:45;12:20:42;13:11:36;17:40:31
1029;03/07/2019;08:59:15;12:53:15;13:16:29;17:00:16
1030;03/07/2019;08:17:47;12:26:18;13:48:15;17:06:53
1031;03/07/2019;08:03:07;12:31:09;13:38:52;17:08:41
1032;03/07/2019;08:33:06;12:13:27;13:31:09;17:42:18
1033;03/07/2019;08:48:49;12:40:08;13:37:09;17:21:25
1034;03/07/2019;08:45:39;12:52:44;13:52:14;17:53:51
1035;03/07/2019;08:38:50;12:10:53;13:28:14;17:29:04
1036;03/07/2019;08:20:29;12:09:37;13:39:32;17:55:40
1037;03/07/2019;08:50:20;12:46:19;13:51:22;17:19:09
1038;03/07/2019;08:03:20;12:42:40;13:50:40;17:09:01
1039;03/07/2019;08:44:56;12:25:27;13:12:18;17:50:56
1040;03/07/2019;08:01:48;12:33:23;13:00:19;17:04:44
1041;03/07/2019;08:17:14;12:15:32;13:24:28;17:17:53
1042;03/07/2019;08:16:41;12:06:44;13:58:14;17:27:58
1043;03/07/2019;08:30:50;12:14:15;13:21:57;17:04:34
1044;03/07/2019;08:53:16;12:06:59;13:25:54;17:33:44
1045;03/07/2019;08:01:21;12:12:12;13:40:26;17:54:23
1046;03/07/2019;08:41:50;12:38:03;13:10:02;17:46:26
1047;03/07/2019;08:39:48;12:18:13;13:56:25;17:38:03
1048;03/07/2019;08:34:20;12:25:51;13:46:44;17:15:22
1049;03/07/2019;08:10:07;12:51:20;13:29:14;17:54:30
1050;03/07/2019;08:04:03;12:52:32;13:20:27;17:04:50
1051;03/07/2019;08:53:49;12:18:42;13:17:10;17:44:07
1052;03/07/2019;08:16:46;12:19:18;13:03:08;17:12:09
1053;03/07/2019;08:50:55;12:54:36;13:15:57;17:59:34
1054;03/07/2019;08:33:38;12:05:48;13:58:04;17:26:09
1055;03/07/2019;08:05:53;12:29:12;13:47:06;17:04:05
1056;03/07/2019;08:52:03;12:06:28;13:15:33;17:13:30
1057;03/07/2019;08:38:42;12:01:24;13:34:07;17:38:53
1058;03/07/2019;08:50:43;12:56:31;13:14:19;17:25:58
1059;03/07/2019;08:00:39;12:18:12;13:14:27;17:05:43
1060;03/07/2019;08:15:06;12:27:05;13:13:56;17:02:37
1061;03/07/2019;08:52:44;12:12:33;13:55:00;17:58:10
1062;03/07/2019;08:25:52;12:42:50;13:08:21;17:27:53
1063;03/07/2019;08:39:58;12:55:35;13:12:16;17:01:29
1064;03/07/2019;08:27:38;12:09:20;13:07:44;17:55:09
1065;03/07/2019;08:25:54;12:04:36;13:07:21;17:25:26
1066;03/07/2019;08:25:16;12:24:20;13:24:50;17:41:28
1067;03/07/2019;08:53:11;12:06:29;13:52:26;17:12:33
1068;03/07/2019;08:18:36;12:15:44;13:09:31;17:23:28
1069;03/07/2019;08:56:18;12:03:17;13:14:25;17:16:11
1070;03/07/2019;08:45:45;12:12:48;13:20:50;17:56:05
1071;03/07/2019;08:24:06;12:35:33;13:31:43;17:01:36
1072;03/07/2019;08:04:58;12:45:44;13:06:53;17:05:32
1073;03/07/2019;08:20:51;12:45:10;13:38:22;17:11:12
1074;03/07/2019;08:16:48;12:02:36;13:03:19;17:20:47
1075;03/07/2019;08:58:10;12:58:59;13:12:14;17:40:03
1076;03/07/2019;08:53:56;12:58:58;13:50:04;17:44:45
1077;03/07/2019;08:42:39;12:50:57;13:33:59;17:05:06
1078;03/07/2019;08:05:23;12:16:33;13:03:56;17:38:47
1079;03/07/2019;08:34:03;12:29:36;13:39:52;17:27:41
1080;03/07/2019;08:57:18;12:45:47;13:36:07;17:00:31
1081;03/07/2019;08:09:29;12:57:41;13:41:53;17:34:29
1082;03/07/2019;08:39:47;12:55:11;13:18:47;17:50:53
1083;03/07/2019;08:26:15;12:50:18;13:31:46;17:34:09
1084;03/07/2019;08:42:27;12:08:52;13:28:38;17:06:55
1085;03/07/2019;08:04:38;12:03:30;13:29:36;17:57:01
1086;03/07/2019;08:45:57;12:49:07;13:14:21;17:57:47
1087;03/07/2019;08:32:40;12:03:26;13:37:44;17:30:49
1088;03/07/2019;08:21:17;12:01:37;13:02:04;17:05:25
1089;03/07/2019;08:44:10;12:01:43;13:04:21;17:55:45
1090;03/07/2019;08:15:51;12:27:54;13:35:48;17:26:19
1091;03/07/2019;08:25:18;12:53:22;13:29:45;17:00:07
1092;03/07/2019;08:51:41;12:46:57;13:58:22;17:06:00
1093;03/07/2019;08:22:12;12:14:46;13:53:02;17:30:37
1094;03/07/2019;08:36:04;12:06:19;13:18:49;17:08:08
1095;03/07/2019;08:33:07;12:27:23;13:04:10;17:35:32
1096;03/07/2019;08:16:25;12:04:47;13:56:57;17:04:04
1097;03/07/2019;08:51:04;12:17:18;13:03:59;17:25:19
1098;03/07/2019;08:12:58;12:38:59;13:38:36;17:51:52
1099;03/07/2019;08:46:31;12:16:17;13:28:39;17:44:53
1000;04/07/2019;08:44:45;12:37:52;13:21:48;17:07:21
1001;04/07/2019;08:36:16;12:51:49;13:53:41;17:19:05
1002;04/07/2019;08:25:55;12:04:03;13:37:45;17:21:24
1003;04/07/2019;08:54:57;12:08:20;13:31:24;17:29:37
1004;04/07/2019;08:04:59;12:40:15;13:25:32;17:56:59
1005;04/07/2019;08:32:04;12:21:21;13:25:32;17:39:29
1006;04/07/2019;08:34:33;12:41:49;13:00:32;17:35:38
1007;04/07/2019;08:47:58;12:51:31;13:39:37;17:27:24
1008;04/07/2019;08:07:48;12:03:04;13:25:02;17:34:06
1009;04/07/2019;08:58:27;12:37:59;13:28:18;17:27:44
1010;04/07/2019;08:26:00;12:09:06;13:52:09;17:53:44
1011;04/07/2019;08:53:30;12:22:12;13:30:27;17:23:42
1012;04/07/2019;08:56:14;12:40:50;13:35:27;17:02:40
1013;04/07/2019;08:01:08;12:43:27;13:11:55;17:42:01
1014;04/07/2019;08:09:56;12:20:19;13:35:18;17:49:13
1015;04/07/2019;08:23:32;12:11:54;13:43:14;17:46:16
1016;04/07/2019;08:42:04;12:49:07;13:24:05;17:48:03
1017;04/07/2019;08:20:50;12:35:00;13:04:38;17:46:08
1018;04/07/2019;08:14:01;12:07:49;13:38:05;17:58:24
1019;04/07/2019;08:07:36;12:20:20;13:45:56;17:16:35
1020;04/07/2019;08:46:45;12:11:17;13:21:11;17:25:20
1021;04/07/2019;08:21:05;12:38:23;13:38:49;17:53:36
1022;04/07/2019;08:10:50;12:03:48;13:51:00;17:06:54
1023;04/07/2019;08:35:40;12:13:05;13:23:11;17:47:23
1024;04/07/2019;08:18:15;12:25:03;13:10:15;17:11:27
1025;04/07/2019;08:47:07;12:15:53;13:39:41;17:35:38
1026;04/07/2019;08:45:07;12:38:30;13:29:15;17:35:19
1027;04/07/2019;08:09:48;12:35:54;13:18:17;17:23:16
1028;04/07/2019;08:32:04;12:57:33;13:59:05;17:14:48
1029;04/07/2019;08:18:29;12:47:32;13:44:36;17:00:43
1030;04/07/2019;08:01:07;12:50:47;13:01:30;17:14:09
1031;04/07/2019;08:20:07;12:20:50;13:23:00;17:09:24
1032;04/07/2019;08:30:07;12:48:01;13:14:07;17:37:44
1033;04/07/2019;08:41:48;12:30:28;13:14:23;17:46:04
1034;04/07/2019;08:19:52;12:10:54;13:03:33;17:19:39
1035;04/07/2019;08:31:20;12:35:14;13:53:34;17:53:10
1036;04/07/2019;08:44:44;12:23:48;13:03:33;17:31:54
1037;04/07/2019;08:07:27;12:04:55;13:24:22;17:01:16
1038;04/07/2019;08:51:26;12:30:24;13:15:53;17:40:53
1039;04/07/2019;08:10:26;12:08:04;13:40:34;17:04:07
1040;04/07/2019;08:49:37;12:30:27;13:35:36;17:10:26
1041;04/07/2019;08:59:21;12:55:17;13:44:33;17:11:53
1042;04/07/2019;08:54:57;12:09:19;13:49:50;17:40:18
1043;04/07/2019;08:16:58;12:35:08;13:05:07;17:39:34
1044;04/07/2019;08:10:48;12:56:43;13:19:22;17:46:08
1045;04/07/2019;08:05:06;12:08:20;13:41:03;17:08:05
1046;04/07/2019;08:41:11;12:07:20;13:55:38;17:43:58
1047;04/07/2019;08:11:17;12:57:05;13:16:30;17:49:02
1048;04/07/2019;08:11:00;12:48:57;13:45:40;17:21:33
1049;04/07/2019;08:40:45;12:36:53;13:46:55;17:23:29
1050;04/07/2019;08:53:32;12:19:41;13:07:50;17:09:42
1051;04/07/2019;08:18:20;12:20:25;13:38:52;17:17:28
1052;04/07/2019;08:03:43;12:37:40;13:45:02;17:32:26
1053;04/07/2019;08:55:40;12:24:51;13:34:48;17:31:55
1054;04/07/2019;08:01:16;12:33:58;13:06:30;17:55:19
1055;04/07/2019;08:40:21;12:31:07;13:10:22;17:20:25
1056;04/07/2019;08:21:43;12:44:49;13:15:06;17:17:41
1057;04/07/2019;08:43:33;12:18:30;13:10:30;17:23:26
1058;04/07/2019;08:57:33;12:53:54;13:58:15;17:03:42
1059;04/07/2019;08:26:49;12:13:05;13:51:47;17:15:58
1060;04/07/2019;08:38:16;12:45:23;13:19:52;17:38:34
1061;04/07/2019;08:00:00;12:05:42;13:56:04;17:34:18
1062;04/07/2019;08:29:14;12:31:45;13:33:37;17:35:54
1063;04/07/2019;08:08:12;12:06:49;13:57:25;17:12:20
1064;04/07/2019;08:59:19;12:10:01;13:03:34;17:13:37
1065;04/07/2019;08:45:08;12:29:34;13:06:53;17:02:58
1066;04/07/2019;08:38:15;12:57:11;13:57:11;17:00:55
1067;04/07/2019;08:56:29;12:43:10;13:01:43;17:00:03
1068;04/07/2019;08:26:16;12:07:47;13:43:59;17:51:04
1069;04/07/2019;08:15:59;12:37:31;13:03:22;17:37:32
1070;04/07/2019;08:46:40;12:43:11;13:55:35;17:06:43
1071;04/07/2019;08:52:51;12:03:21;13:03:10;17:55:44
1072;04/07/2019;08:56:10;12:34:08;13:09:07;17:48:27
1073;04/07/2019;08:22:20;12:04:22;13:27:50;17:53:42
1074;04/07/2019;08:10:50;12:34:16;13:50:54;17:37:32
1075;04/07/2019;08:56:02;12:02:54;13:01:22;17:39:39
1076;04/07/2019;08:48:53;12:39:15;13:27:51;17:54:35
1077;04/07/2019;08:51:59;12:15:54;13:38:59;17:46:39
1078;04/07/2019;08:01:15;12:14:34;13:57:41;17:23:05
1079;04/07/2019;08:37:12;12:13:17;13:36:00;17:26:11
1080;04/07/2019;08:29:19;12:20:02;13:09:37;17:51:39
1081;04/07/2019;08:26:59;12:46:25;13:52:38;17:45:58
1082;04/07/2019;08:13:41;12:00:22;13:15:21;17:15:35
1083;04/07/2019;08:43:32;12:44:47;13:54:01;17:04:04
1084;04/07/2019;08:26:08;12:21:22;13:13:24;17:00:26
1085;04/07/2019;08:43:20;12:43:32;13:11:53;17:49:10
1086;04/07/2019;08:55:21;12:38:41;13:47:42;17:03:39
1087;04/07/2019;08:23:04;12:01:59;13:27:31;17:21:15
1088;04/07/2019;08:48:01;12:49:14;13:05:27;17:16:33
1089;04/07/2019;08:27:34;12:19:06;13:45:25;17:39:37
1090;04/07/2019;08:02:50;12:00:32;13:29:00;17:00:03
1091;04/07/2019;08:21:40;12:50:26;13:15:10;17:04:51
1092;04/07/2019;08:42:38;12:39:23;13:36:03;17:23:14
1093;04/07/2019;08:01:42;12:44:20;13:29:39;17:27:32
1094;04/07/2019;08:55:57;12:16:02;13:17:16;17:03:32
1095;04/07/2019;08:31:59;12:47:03;13:05:40;17:33:42
1096;04/07/2019;08:36:47;12:55:15;13:42:19;17:28:09
1097;04/07/2019;08:56:58;12:19:33;13:29:52;17:38:29
1098;04/07/2019;08:28:08;12:45:09;13:52:47;17:26:07
1099;04/07/2019;08:38:17;12:44:04;13:47:45;17:06:45
1000;05/07/2019;08:45:42;12:06:09;13:59:20;17:56:08
1001;05/07/2019;08:46:00;12:19:15;13:14:26;17:51:00
1002;05/07/2019;08:20:03;12:30:48;13:27:41;17:31:41
1003;05/07/2019;08:06:32;12:03:10;13:02:32;17:37:59
1004;05/07/2019;08:33:02;12:50:03;13:45:54;17:39:34
1005;05/07/2019;08:41:00;12:46:20;13:08:05;17:24:43
1006;05/07/2019;08:00:30;12:26:00;13:27:25;17:52:06
1007;05/07/2019;08:09:57;12:50:44;13:36:12;17:19:10
